("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 4.2444539577337470e-04 7.8425802532537114e-01
1.8749519977416666e+14 4.3037573281273447e-04 7.5536970222870248e-01
1.8762011329833334e+14 4.3804049665571970e-04 7.3011414888152015e-01
1.8774502682250000e+14 4.4709226603221704e-04 7.0904597636666711e-01
1.8786994034666666e+14 4.5715337457094606e-04 6.9243575031507398e-01
1.8799485387083334e+14 4.6783990911721928e-04 6.8030733983332681e-01
1.8811976739500000e+14 4.7878095074563542e-04 6.7249023912699102e-01
1.8824468091916666e+14 4.8963264106139976e-04 6.6867401462073162e-01
1.8836959444333334e+14 5.0008758350293463e-04 6.6845677981166385e-01
1.8849450796750000e+14 5.0988050796980239e-04 6.7138408284109896e-01
1.8861942149166666e+14 5.1879118369325017e-04 6.7697773512236858e-01
1.8874433501583334e+14 5.2789185417073019e-04 6.8290378315224731e-01
1.8886924854000000e+14 5.3579198789117824e-04 6.9054978262105915e-01
1.8899416206416666e+14 5.4240387426449435e-04 6.9943935093249221e-01
1.8911907558833334e+14 5.4768450285444287e-04 7.0912332090825947e-01
1.8924398911250000e+14 5.5163350121157099e-04 7.1918264061410275e-01
1.8936890263666666e+14 5.5429070768261122e-04 7.2923067437915889e-01
1.8949381616083334e+14 5.5573334245243434e-04 7.3891573484213180e-01
1.8961872968500000e+14 5.5607269256618302e-04 7.4792441180625346e-01
1.8974364320916666e+14 5.5545019669210507e-04 7.5598602810613125e-01
1.8986855673333334e+14 5.5403280329955837e-04 7.6287831807887119e-01
1.8999347025750000e+14 5.5312127115223300e-04 7.6655791920738314e-01
1.9011838378166666e+14 5.5179680991646323e-04 7.6876836593196241e-01
1.9024329730583334e+14 5.5027087656562906e-04 7.6948132686009674e-01
1.9036821083000000e+14 5.4875283626765604e-04 7.6874649360776670e-01
1.9049312435416666e+14 5.4744068702436996e-04 7.6669401780482827e-01
1.9061803787833334e+14 5.4651157430463267e-04 7.6353269442244975e-01
1.9074295140250000e+14 5.4611269028447668e-04 7.5954282679705465e-01
1.9086786492666666e+14 5.4635326216699110e-04 7.5506333840355433e-01
1.9099277845083334e+14 5.4729835014641120e-04 7.5047358092275995e-01
1.9111769197500000e+14 5.4896507057004243e-04 7.4617124317528205e-01
1.9124260549916666e+14 5.5241582982632344e-04 7.4079243991012145e-01
1.9136751902333334e+14 5.5648533618092490e-04 7.3649065673160263e-01
1.9149243254750000e+14 5.6104851194893005e-04 7.3357729038785024e-01
1.9161734607166666e+14 5.6594378842593225e-04 7.3229664733564814e-01
1.9174225959583334e+14 5.7098169137530653e-04 7.3281746682123594e-01
1.9186717312000000e+14 5.7595418953300555e-04 7.3523027282074982e-01
1.9199208664416666e+14 5.8064412649322925e-04 7.3954954789087290e-01
1.9211700016833334e+14 5.8483420293117751e-04 7.4571932718103495e-01
1.9224191369250000e+14 5.8831515089726610e-04 7.5362074631424969e-01
1.9236682721666666e+14 5.9089290797112698e-04 7.6308025233572441e-01
1.9249174074083334e+14 5.9341489801175025e-04 7.7225141132676201e-01
1.9261665426500000e+14 5.9469409283452413e-04 7.8246466559407679e-01
1.9274156778916666e+14 5.9461213041627718e-04 7.9341106172842435e-01
1.9286648131333334e+14 5.9308587417075545e-04 8.0475242046032991e-01
1.9299139483750000e+14 5.9007037259270294e-04 8.1612459368101853e-01
1.9311630836166666e+14 5.8556128995041954e-04 8.2713983741272390e-01
1.9324122188583331e+14 5.7959690375367935e-04 8.3738881668351828e-01
1.9336613541000000e+14 5.7225972535027473e-04 8.4644292608301741e-01
1.9349104893416666e+14 5.6367774478071622e-04 8.5385780885828499e-01
1.9361596245833331e+14 5.5402522497162118e-04 8.5917919745457649e-01
1.9374087598250000e+14 5.4441631812157025e-04 8.6009815263802725e-01
1.9386578950666666e+14 5.3422702211498819e-04 8.5795678316090729e-01
1.9399070303083331e+14 5.2377744757164620e-04 8.5236169832450270e-01
1.9411561655500000e+14 5.1342793580133519e-04 8.4299501166067026e-01
1.9424053007916666e+14 5.0357094422300616e-04 8.2965484080946150e-01
1.9436544360333331e+14 4.9461873224053248e-04 8.1230194077869800e-01
1.9449035712750000e+14 4.8698618009402229e-04 7.9110674551859050e-01
1.9461527065166666e+14 4.8106875774246954e-04 7.6648716631261782e-01
1.9474018417583331e+14 4.7721682124818657e-04 7.3912462371837639e-01
1.9486509770000000e+14 4.7570886993132016e-04 7.0994630482633370e-01
1.9499001122416666e+14 4.7774545763650455e-04 6.7839588986676025e-01
1.9511492474833331e+14 4.8242707741303129e-04 6.4751104861782682e-01
1.9523983827250000e+14 4.8969859964242816e-04 6.1849707543631394e-01
1.9536475179666666e+14 4.9938916495757542e-04 5.9241532890797288e-01
1.9548966532083331e+14 5.1122908604146061e-04 5.7010325922152483e-01
1.9561457884500000e+14 5.2487331982641018e-04 5.5213535183869222e-01
1.9573949236916666e+14 5.3992714948258489e-04 5.3882368066553332e-01
1.9586440589333331e+14 5.5597042471782258e-04 5.3024774868391433e-01
1.9598931941750000e+14 5.7257809026081978e-04 5.2630011664368004e-01
1.9611423294166666e+14 5.8933613015197447e-04 5.2673592331435470e-01
1.9623914646583331e+14 6.0693159099390866e-04 5.3020755147028242e-01
1.9636405999000000e+14 6.2391619545601495e-04 5.3736002014746875e-01
1.9648897351416666e+14 6.3995767620804520e-04 5.4775245695288233e-01
1.9661388703833331e+14 6.5476253701749398e-04 5.6094051582923043e-01
1.9673880056250000e+14 6.6807752474814478e-04 5.7648853414259371e-01
1.9686371408666666e+14 6.7969025793501541e-04 5.9397629449048794e-01
1.9698862761083331e+14 6.8942933972951023e-04 6.1300199606947514e-01
1.9711354113500000e+14 6.9716415747252732e-04 6.3318270949851596e-01
1.9723845465916666e+14 7.0280448212167842e-04 6.5415327127158929e-01
1.9736336818333331e+14 7.0629992121152706e-04 6.7556431380728510e-01
1.9748828170750000e+14 7.0856177444650185e-04 6.9601945118373421e-01
1.9761319523166666e+14 7.0866369620516459e-04 7.1619872060424472e-01
1.9773810875583331e+14 7.0667027300764422e-04 7.3578004393060970e-01
1.9786302228000000e+14 7.0268340321795334e-04 7.5445000558596331e-01
1.9798793580416666e+14 6.9684090921957593e-04 7.7190331320113315e-01
1.9811284932833331e+14 6.8931480099519010e-04 7.8784347379611219e-01
1.9823776285250000e+14 6.8030909820259052e-04 8.0198499087754671e-01
1.9836267637666666e+14 6.7005709559657942e-04 8.1405740653206038e-01
1.9848758990083331e+14 6.5881793160355029e-04 8.2381149922163721e-01
1.9861250342500000e+14 6.4687229747603311e-04 8.3102787345804185e-01
1.9873741694916666e+14 6.3529354623393112e-04 8.3421171203688693e-01
1.9886233047333331e+14 6.2361083245657039e-04 8.3450016756177858e-01
1.9898724399750000e+14 6.1213998700579463e-04 8.3184697172032185e-01
1.9911215752166666e+14 6.0118939236104504e-04 8.2629315300321515e-01
1.9923707104583331e+14 5.9104917184659225e-04 8.1797978249891812e-01
1.9936198457000000e+14 5.8197963513388477e-04 8.0715571960831944e-01
1.9948689809416666e+14 5.7419975378442058e-04 7.9417752407077369e-01
1.9961181161833331e+14 5.6787671620037649e-04 7.7949929269826312e-01
1.9973672514250000e+14 5.6311775858374044e-04 7.6365159050333375e-01
1.9986163866666666e+14 5.5996539666124492e-04 7.4721069042293176e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(101, 3)
1.8737028625000000e+14 3.4272058029737718e-04 5.5615196003739786e-01
1.8749519977416666e+14 3.2351514693559869e-04 7.4863144402855386e-01
