["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 3.4473212553917377e-04 1.3775409277139636e+00
1.8749519977416666e+14 2.6445745298550610e-04 1.3103215847637530e+00
1.8762011329833334e+14 1.9111202185046855e-04 1.1109421438798643e+00
1.8774502682250000e+14 1.4634466235742425e-04 6.4801385127240463e-01
1.8786994034666666e+14 1.6375356184390800e-04 5.9035947781179605e-02
1.8799485387083334e+14 2.3279939683001926e-04 -2.6923836198118783e-01
1.8811976739500000e+14 3.2285870170077266e-04 -3.9339265761147757e-01
1.8824468091916666e+14 4.2045537196597210e-04 -4.2523906494542640e-01
1.8836959444333334e+14 5.2040633446262855e-04 -4.1323431523421378e-01
1.8849450796750000e+14 6.2010090739090900e-04 -3.7783105584704874e-01
1.8861942149166666e+14 7.1783581929347313e-04 -3.2867321498828428e-01
1.8874433501583334e+14 8.1385303259705951e-04 -2.7026051920538502e-01
1.8886924854000000e+14 9.0554320236604002e-04 -2.0637102312341749e-01
1.8899416206416666e+14 9.9191665353752121e-04 -1.3870450986370716e-01
1.8911907558833334e+14 1.0720822111340857e-03 -6.8363997966266701e-02
1.8924398911250000e+14 1.1452381799028142e-03 3.8961671185453509e-03
1.8936890263666666e+14 1.2106705339357279e-03 7.7534869285034641e-02
1.8949381616083334e+14 1.2677543145604192e-03 1.5214580207847991e-01
1.8961872968500000e+14 1.3159563331990338e-03 2.2740959320273793e-01
1.8974364320916666e+14 1.3548382115967810e-03 3.0306303140258822e-01
1.8986855673333334e+14 1.3840592430117789e-03 3.7887816701423793e-01
1.8999347025750000e+14 1.4047851060774704e-03 4.5417142994049359e-01
1.9011838378166666e+14 1.4153638152414991e-03 5.2907821195587756e-01
1.9024329730583334e+14 1.4157377668193281e-03 6.0339714243716236e-01
1.9036821083000000e+14 1.4059556041063068e-03 6.7691111533187664e-01
1.9049312435416666e+14 1.3861727341925990e-03 7.4937657403607683e-01
1.9061803787833334e+14 1.3566514266615359e-03 8.2051071515108531e-01
1.9074295140250000e+14 1.3177607562768028e-03 8.8997519585754337e-01
1.9086786492666666e+14 1.2699767966187936e-03 9.5735438904699677e-01
1.9099277845083334e+14 1.2138836966916174e-03 1.0221253132364743e+00
1.9111769197500000e+14 1.1501766371815303e-03 1.0836148542035475e+00
1.9124260549916666e+14 1.0803063680460058e-03 1.1396855236861683e+00
1.9136751902333334e+14 1.0044376812197939e-03 1.1901457246390297e+00
1.9149243254750000e+14 9.2369216256148700e-04 1.2332961534378040e+00
1.9161734607166666e+14 8.3940248744491229e-04 1.2667517045750532e+00
1.9174225959583334e+14 7.5319350870671226e-04 1.2871056755143357e+00
1.9186717312000000e+14 6.6712349993461155e-04 1.2894432720887730e+00
1.9199208664416666e+14 5.8392436300509797e-04 1.2667350739703021e+00
1.9211700016833334e+14 5.0737965372286335e-04 1.2094644188433954e+00
1.9224191369250000e+14 4.4278495736593836e-04 1.1068899181131648e+00
1.9236682721666666e+14 3.9701747839855671e-04 9.5327732642477125e-01
1.9249174074083334e+14 3.7798478565509696e-04 7.5815428048795008e-01
1.9261665426500000e+14 3.8790268300570297e-04 5.6091989904359441e-01
1.9274156778916666e+14 4.2293639600602328e-04 3.9926838402330395e-01
1.9286648131333334e+14 4.7524960949612150e-04 2.8798444533021439e-01
1.9299139483750000e+14 5.3722198565683344e-04 2.2234406357258338e-01
1.9311630836166666e+14 6.0317552697007962e-04 1.9150839883381132e-01
1.9324122188583331e+14 6.6923967297243838e-04 1.8557096540645238e-01
1.9336613541000000e+14 7.3279471829421300e-04 1.9713257045302426e-01
1.9349104893416666e+14 7.9202668701814716e-04 2.2098071525165264e-01
1.9361596245833331e+14 8.4564782221177451e-04 2.5346480483075517e-01
1.9374087598250000e+14 8.9405589390175572e-04 2.9155059273111394e-01
1.9386578950666666e+14 9.3523622473396298e-04 3.3367938908171685e-01
1.9399070303083331e+14 9.6873255154859188e-04 3.7838668152083715e-01
1.9411561655500000e+14 9.9426981001758197e-04 4.2450798034918974e-01
1.9424053007916666e+14 1.0117360477666275e-03 4.7106901968661363e-01
1.9436544360333331e+14 1.0211724666087006e-03 5.1720906924923871e-01
1.9449035712750000e+14 1.0227686833361072e-03 5.6212485337419771e-01
1.9461527065166666e+14 1.0168616566204748e-03 6.0502738807023371e-01
1.9474018417583331e+14 1.0039375115258049e-03 6.4510723413407112e-01
