("port 1","mode 2",2,"port 1",2,"transmission")
(101, 3)
1.8737028625000000e+14 2.9346466475583475e-04 7.1708732733498992e-01
1.8749519977416666e+14 2.9434545180774839e-04 6.7970009085877592e-01
1.8762011329833334e+14 2.9929694732435530e-04 6.4161685735298046e-01
1.8774502682250000e+14 3.0827716394545712e-04 6.0602360366294494e-01
1.8786994034666666e+14 3.2106985396042277e-04 5.7555488017084189e-01
1.8799485387083334e+14 3.3732425926155646e-04 5.5199517303355949e-01
1.8811976739500000e+14 3.5660684425322243e-04 5.3623460290909275e-01
1.8824468091916666e+14 3.7844904874868125e-04 5.2841411227450752e-01
1.8836959444333334e+14 4.0238227493532072e-04 5.2815034731876354e-01
1.8849450796750000e+14 4.2795875089553503e-04 5.3475329687149031e-01
1.8861942149166666e+14 4.5476114409522802e-04 5.4739466245395862e-01
1.8874433501583334e+14 4.8038177247443288e-04 5.6818748443637401e-01
1.8886924854000000e+14 5.0655102005898393e-04 5.9322754119460674e-01
1.8899416206416666e+14 5.3296343725640189e-04 6.2181993446870398e-01
1.8911907558833334e+14 5.5933630468272741e-04 6.5333583587027566e-01
1.8924398911250000e+14 5.8540657061516592e-04 6.8721637915227374e-01
1.8936890263666666e+14 6.1092836277003130e-04 7.2296975359061011e-01
1.8949381616083334e+14 6.3567116880609831e-04 7.6016489228402007e-01
1.8961872968500000e+14 6.5941866675292419e-04 7.9842378683733473e-01
1.8974364320916666e+14 6.8196813622512008e-04 8.3741356681933077e-01
1.8986855673333334e+14 7.0313036487634035e-04 8.7683892847185951e-01
1.8999347025750000e+14 7.2140737934731796e-04 9.1908452620419534e-01
1.9011838378166666e+14 7.3811260932001358e-04 9.6128894908888507e-01
1.9024329730583334e+14 7.5310590820290200e-04 1.0032342606489644e+00
1.9036821083000000e+14 7.6626134875985874e-04 1.0447167302618503e+00
1.9049312435416666e+14 7.7746846834626272e-04 1.0855426161532487e+00
1.9061803787833334e+14 7.8663367164024344e-04 1.1255242617046564e+00
1.9074295140250000e+14 7.9368176521707955e-04 1.1644764438608959e+00
1.9086786492666666e+14 7.9855760664076494e-04 1.2022129180082382e+00
1.9099277845083334e+14 8.0122785791733413e-04 1.2385431152141329e+00
1.9111769197500000e+14 8.0168284010200409e-04 1.2732689659938436e+00
1.9124260549916666e+14 7.9946699148518278e-04 1.3088477516940615e+00
1.9136751902333334e+14 7.9522963205543582e-04 1.3424654522480906e+00
1.9149243254750000e+14 7.8903190102617234e-04 1.3738952195760963e+00
1.9161734607166666e+14 7.8096429663976471e-04 1.4028938554547332e+00
1.9174225959583334e+14 7.7114894941357687e-04 1.4292001568149835e+00
1.9186717312000000e+14 7.5974195645999657e-04 1.4525341894928707e+00
1.9199208664416666e+14 7.4693571731398783e-04 1.4725980027127357e+00
1.9211700016833334e+14 7.3296115831315292e-04 1.4890785014408361e+00
1.9224191369250000e+14 7.1808965000146139e-04 1.5016534318561356e+00
1.9236682721666666e+14 7.0263430327945097e-04 1.5100016733027504e+00
1.9249174074083334e+14 6.8692403816221937e-04 1.5167989324217386e+00
1.9261665426500000e+14 6.7138102529870267e-04 1.5189534062540626e+00
1.9274156778916666e+14 6.5640656636988849e-04 1.5162737416682552e+00
1.9286648131333334e+14 6.4242921115082265e-04 1.5086669393777203e+00
1.9299139483750000e+14 6.2989368972731353e-04 1.4961775743083117e+00
1.9311630836166666e+14 6.1924502328442759e-04 1.4790271390757503e+00
1.9324122188583331e+14 6.1090778163949493e-04 1.4576459278912008e+00
1.9336613541000000e+14 6.0526150812889742e-04 1.4326877147988824e+00
1.9349104893416666e+14 6.0261466080543166e-04 1.4050177447344281e+00
1.9361596245833331e+14 6.0318061875516400e-04 1.3756686367893869e+00
1.9374087598250000e+14 6.0684000309028593e-04 1.3479054858680324e+00
1.9386578950666666e+14 6.1368178810434180e-04 1.3208710670754560e+00
1.9399070303083331e+14 6.2356217219531208e-04 1.2955555189986061e+00
1.9411561655500000e+14 6.3623812734475910e-04 1.2727875911191324e+00
1.9424053007916666e+14 6.5138715694461335e-04 1.2531922734434533e+00
1.9436544360333331e+14 6.6863015788556164e-04 1.2371782246944956e+00
1.9449035712750000e+14 6.8755406642870785e-04 1.2249503035634366e+00
1.9461527065166666e+14 7.0773190368688592e-04 1.2165386317063660e+00
1.9474018417583331e+14 7.2873898934747562e-04 1.2118351940184930e+00
1.9486509770000000e+14 7.5016507779040889e-04 1.2106308310882119e+00
1.9499001122416666e+14 7.7152964232117603e-04 1.2131784587560541e+00
1.9511492474833331e+14 7.9256455930353583e-04 1.2186146921647178e+00
1.9523983827250000e+14 8.1294584162198719e-04 1.2266024334899830e+00
1.9536475179666666e+14 8.3238252891655270e-04 1.2367976659017841e+00
