("port 1","mode 1",1,"port 1",1,"transmission")
(1001, 3)
1.8737028625000000e+14 1.0585768881308875e-03 1.5944876669453698e+00
1.8738277760241666e+14 1.0486862964137751e-03 1.5973506572342586e+00
1.8739526895483334e+14 1.0387705932886106e-03 1.6001235707677948e+00
1.8740776030725000e+14 1.0288310371309750e-03 1.6028036555290153e+00
1.8742025165966666e+14 1.0188689151873435e-03 1.6053880539625855e+00
1.8743274301208334e+14 1.0088855448323918e-03 1.6078737983477718e+00
1.8744523436450000e+14 9.9888227492415070e-04 1.6102578059599773e+00
1.8745772571691666e+14 9.8886048722788200e-04 1.6125368740139485e+00
1.8747021706933334e+14 9.7882159792054440e-04 1.6147076743776572e+00
1.8748270842175000e+14 9.6876705918666668e-04 1.6167667480559282e+00
1.8749519977416666e+14 9.5869836092459004e-04 1.6187104994369881e+00
1.8750769112658334e+14 9.4861703250153338e-04 1.6205351902746852e+00
1.8752018247900000e+14 9.3852464468635534e-04 1.6222369334353262e+00
1.8753267383141666e+14 9.2842281163028157e-04 1.6238116863703469e+00
1.8754516518383334e+14 9.1831319299807870e-04 1.6252552443341182e+00
1.8755765653625000e+14 9.0819749622947040e-04 1.6265632333167581e+00
1.8757014788866666e+14 8.9807747890297614e-04 1.6277311027164572e+00
1.8758263924108334e+14 8.8795495127743805e-04 1.6287541177485094e+00
1.8759513059350000e+14 8.7783177894806808e-04 1.6296273515445572e+00
1.8760762194591666e+14 8.6770988568817280e-04 1.6303456770297846e+00
1.8762011329833334e+14 8.5759125644184714e-04 1.6309037585100115e+00
1.8763260465075000e+14 8.4747794049112900e-04 1.6312960430096648e+00
1.8764509600316666e+14 8.3737205481415015e-04 1.6315167513747935e+00
1.8765758735558334e+14 8.2727578764015658e-04 1.6315598691598170e+00
1.8767007870800000e+14 8.1719140219408228e-04 1.6314191373071607e+00
1.8768257006041666e+14 8.0712124067877438e-04 1.6310880426733414e+00
1.8769506141283334e+14 7.9706772846436223e-04 1.6305598084235866e+00
1.8770755276525000e+14 7.8703337851647188e-04 1.6298273843444637e+00
1.8772004411766666e+14 7.7702079608482351e-04 1.6288834371401320e+00
1.8773253547008334e+14 7.6703268362307217e-04 1.6277203407743475e+00
1.8774502682250000e+14 7.5707184599979821e-04 1.6263301669383221e+00
1.8775751817491666e+14 7.4714119596455502e-04 1.6247046757551713e+00
1.8777000952733334e+14 7.3724375990763221e-04 1.6228353068254615e+00
1.8778250087975000e+14 7.2738268390969054e-04 1.6207131707550999e+00
1.8779499223216666e+14 7.1756124007297660e-04 1.6183290413263975e+00
1.8780748358458334e+14 7.0778283317240521e-04 1.6156733484914201e+00
1.8781997493700000e+14 6.9805100758083666e-04 1.6127361724191374e+00
1.8783246628941666e+14 6.8836945451717832e-04 1.6095072388182285e+00
1.8784495764183334e+14 6.7874201956097890e-04 1.6059759158478482e+00
1.8785744899425000e+14 6.6917271045749112e-04 1.6021312129291094e+00
1.8786994034666666e+14 6.5966570518386056e-04 1.5979617818029015e+00
1.8788243169908334e+14 6.5022536025611047e-04 1.5934559203141709e+00
1.8789492305150000e+14 6.4085621924229856e-04 1.5886015793446864e+00
1.8790741440391666e+14 6.3156302143703425e-04 1.5833863734294167e+00
1.8791990575633334e+14 6.2235071065720206e-04 1.5777975956836696e+00
1.8793239710875000e+14 6.1322444412625107e-04 1.5718222376538913e+00
1.8794488846116666e+14 6.0418960122115249e-04 1.5654470148595019e+00
1.8795737981358334e+14 5.9525179225567890e-04 1.5586583987787306e+00
1.8796987116600000e+14 5.8641686689806178e-04 1.5514426561908838e+00
1.8798236251841666e+14 5.7769092229403125e-04 1.5437858967028271e+00
1.8799485387083334e+14 5.6908031061820674e-04 1.5356741296017555e+00
