("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 3.5867570265436994e-03 7.0079660373950137e-01
1.8749519977416666e+14 3.6794488260604302e-03 7.8125098362121070e-01
1.8762011329833334e+14 3.7253881270787582e-03 8.7229849222338007e-01
1.8774502682250000e+14 3.7187106812376089e-03 9.7240781632713547e-01
1.8786994034666666e+14 3.6558246176795471e-03 1.0805941525885610e+00
1.8799485387083334e+14 3.5351828258308377e-03 1.1964160212517765e+00
1.8811976739500000e+14 3.3571284175168748e-03 1.3200301643923849e+00
1.8824468091916666e+14 3.1238171171793778e-03 1.4523557780788474e+00
1.8836959444333334e+14 2.8392497514560366e-03 1.5954440292487675e+00
1.8849450796750000e+14 2.5095159951269764e-03 1.7532686417000145e+00
1.8861942149166666e+14 2.1435284551652367e-03 1.9334644715613996e+00
1.8874433501583334e+14 1.7544106425694532e-03 2.1506479425971161e+00
1.8886924854000000e+14 1.3666458947662675e-03 2.4381460862949220e+00
1.8899416206416666e+14 1.0327734949442282e-03 2.8644172721149443e+00
1.8911907558833334e+14 8.6762802700466430e-04 3.5012332501374428e+00
1.8924398911250000e+14 9.8702874948754867e-04 4.1767120615324416e+00
1.8936890263666666e+14 1.3211304141388760e-03 4.6509095106805338e+00
1.8949381616083334e+14 1.7452293408101291e-03 4.9650545942076976e+00
1.8961872968500000e+14 2.1957541721686971e-03 5.1973155848801555e+00
1.8974364320916666e+14 2.6433355953925908e-03 5.3872664752437949e+00
1.8986855673333334e+14 3.0714090395356007e-03 5.5533512622700707e+00
1.8999347025750000e+14 3.4697799806351318e-03 5.7050020038787315e+00
1.9011838378166666e+14 3.8290705512388128e-03 5.8467694374199155e+00
1.9024329730583334e+14 4.1424085493835571e-03 5.9815043823188203e+00
1.9036821083000000e+14 4.4043001250505098e-03 6.1109042446061821e+00
1.9049312435416666e+14 4.6104742256226992e-03 6.2359954167718952e+00
1.9061803787833334e+14 4.7578246833473118e-03 6.3573826534882443e+00
1.9074295140250000e+14 4.8443930705555768e-03 6.4753815224442244e+00
1.9086786492666666e+14 4.8693673524651832e-03 6.5900868548087788e+00
1.9099277845083334e+14 4.8330854832090778e-03 6.7014018976361598e+00
1.9111769197500000e+14 4.7370403370171673e-03 6.8090388916274716e+00
1.9124260549916666e+14 4.5850400102123790e-03 6.9123485795749335e+00
1.9136751902333334e+14 4.3796252980873845e-03 7.0106355433672789e+00
1.9149243254750000e+14 4.1258276881071280e-03 7.1027486503747097e+00
1.9161734607166666e+14 3.8299863874194109e-03 7.1870073647662007e+00
1.9174225959583334e+14 3.4999125263744857e-03 7.2609477108853913e+00
1.9186717312000000e+14 3.1452094528612003e-03 7.3209185325065267e+00
1.9199208664416666e+14 2.7778793393796013e-03 7.3614623173149241e+00
1.9211700016833334e+14 2.4134288343386785e-03 7.3744754296287569e+00
1.9224191369250000e+14 2.0727101160924293e-03 7.3485427038691302e+00
1.9236682721666666e+14 1.7842079455052599e-03 7.2703570933401487e+00
1.9249174074083334e+14 1.5848005895413560e-03 7.1327452228533321e+00
1.9261665426500000e+14 1.5064644286999071e-03 6.9545449526561605e+00
1.9274156778916666e+14 1.5553168700092467e-03 6.7827933248157182e+00
1.9286648131333334e+14 1.7017823426999587e-03 6.6588514543426047e+00
1.9299139483750000e+14 1.9013701085407830e-03 6.5926031322076994e+00
1.9311630836166666e+14 2.1158116316651273e-03 6.5740897225633219e+00
1.9324122188583331e+14 2.3181917105874546e-03 6.5898966863257522e+00
1.9336613541000000e+14 2.4904958137476597e-03 6.6292264707231094e+00
1.9349104893416666e+14 2.6206086921444468e-03 6.6844037191472001e+00
1.9361596245833331e+14 2.7003531591915731e-03 6.7500325507712056e+00
1.9374087598250000e+14 2.7255254562038546e-03 6.8219495067322811e+00
1.9386578950666666e+14 2.6918395283887964e-03 6.8970648755115453e+00
1.9399070303083331e+14 2.5982006887892025e-03 6.9723696792556478e+00
1.9411561655500000e+14 2.4454534841846804e-03 7.0445120076443324e+00
1.9424053007916666e+14 2.2365327759140312e-03 7.1090079426114130e+00
1.9436544360333331e+14 1.9769782329464958e-03 7.1588024044533514e+00
1.9449035712750000e+14 1.6763210031618674e-03 7.1811650386602137e+00
1.9461527065166666e+14 1.3519721867950518e-03 7.1503207366220156e+00
1.9474018417583331e+14 1.0409555153734387e-03 7.0110062837921907e+00
1.9486509770000000e+14 8.3084793969642745e-04 6.6735599578863702e+00
1.9499001122416666e+14 8.6298406873253259e-04 6.1978585464830909e+00
1.9511492474833331e+14 1.1461434379134339e-03 5.8798967396405377e+00
1.9523983827250000e+14 1.5596376188645659e-03 5.7557620774709202e+00
1.9536475179666666e+14 2.0245515117698620e-03 5.7362856472198853e+00
1.9548966532083331e+14 2.5041080251280517e-03 5.7694879016729850e+00
1.9561457884500000e+14 2.9777465010995888e-03 5.8313212720198528e+00
1.9573949236916666e+14 3.4311324483606480e-03 5.9100646120480835e+00
1.9586440589333331e+14 3.8528293933990927e-03 5.9994829763097615e+00
1.9598931941750000e+14 4.2331449159759005e-03 6.0959774740571149e+00
1.9611423294166666e+14 4.5637344715380281e-03 6.1973160473232518e+00
1.9623914646583331e+14 4.8386567767047563e-03 6.3020425296378093e+00
1.9636405999000000e+14 5.0509005541406072e-03 6.4090433385711938e+00
1.9648897351416666e+14 5.1958613262439541e-03 6.5175395472760060e+00
1.9661388703833331e+14 5.2702865841712954e-03 6.6269002985400070e+00
1.9673880056250000e+14 5.2723296449861687e-03 6.7365716959758579e+00
1.9686371408666666e+14 5.2015881179301449e-03 6.8460225903186149e+00
1.9698862761083331e+14 5.0591230004572007e-03 6.9546950260451563e+00
1.9711354113500000e+14 4.8474575853796600e-03 7.0619487461268520e+00
1.9723845465916666e+14 4.5705586218960917e-03 7.1669867681789894e+00
1.9736336818333331e+14 4.2338068975556380e-03 7.2687411499394585e+00
1.9748828170750000e+14 3.8446082872398927e-03 7.3654361948088694e+00
1.9761319523166666e+14 3.4103327649349854e-03 7.4548683543991849e+00
1.9773810875583331e+14 2.9407212282890264e-03 7.5331135022924665e+00
1.9786302228000000e+14 2.4475640362331338e-03 7.5931392376262599e+00
1.9798793580416666e+14 1.9461521164366061e-03 7.6210632730349550e+00
1.9811284932833331e+14 1.4597940765694226e-03 7.5863238150760974e+00
1.9823776285250000e+14 1.0350159960383265e-03 7.4167781401448574e+00
1.9836267637666666e+14 7.8370251234754530e-04 6.9930359108858386e+00
1.9848758990083331e+14 8.5010438866521380e-04 6.4607324815552065e+00
1.9861250342500000e+14 1.1494478679727228e-03 6.1722570101282077e+00
1.9873741694916666e+14 1.5187923909168565e-03 6.0766209284850854e+00
1.9886233047333331e+14 1.8842381863876441e-03 6.0689664704070383e+00
