("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 7.0564321550311822e-04 9.4851139059491363e-01
1.8749519977416666e+14 6.9829049405420343e-04 9.7782154732108950e-01
1.8762011329833334e+14 6.8763210281038920e-04 1.0058381008910682e+00
1.8774502682250000e+14 6.7385223448155219e-04 1.0319616446952138e+00
1.8786994034666666e+14 6.5720325218568431e-04 1.0555410424073597e+00
1.8799485387083334e+14 6.3800867280923998e-04 1.0758611394031274e+00
1.8811976739500000e+14 6.1666696047870165e-04 1.0921330392367397e+00
1.8824468091916666e+14 5.9365603444759150e-04 1.1034902621152256e+00
1.8836959444333334e+14 5.6953805618997885e-04 1.1089964939403893e+00
1.8849450796750000e+14 5.4496340904891495e-04 1.1076739898197066e+00
1.8861942149166666e+14 5.2067166547354530e-04 1.0985655798683820e+00
1.8874433501583334e+14 4.9839192536431647e-04 1.0776226237501616e+00
1.8886924854000000e+14 4.7819658394240611e-04 1.0473741400132763e+00
1.8899416206416666e+14 4.6103888983293844e-04 1.0079443296610417e+00
1.8911907558833334e+14 4.4782274355229673e-04 9.6029294793960551e-01
1.8924398911250000e+14 4.3930375670656350e-04 9.0636703950078135e-01
1.8936890263666666e+14 4.3598130969559848e-04 8.4902965012398679e-01
1.8949381616083334e+14 4.3801344339250648e-04 7.9169987642481110e-01
1.8961872968500000e+14 4.4518741299150259e-04 7.3778490596211410e-01
1.8974364320916666e+14 4.5695915485221227e-04 6.9011653400947104e-01
1.8986855673333334e+14 4.7254570150284236e-04 6.5060163041770025e-01
1.8999347025750000e+14 4.9250301343674785e-04 6.1812596854132507e-01
1.9011838378166666e+14 5.1447066095675520e-04 5.9510992947601404e-01
1.9024329730583334e+14 5.3752467404961598e-04 5.8097248762896392e-01
1.9036821083000000e+14 5.6082967989472547e-04 5.7480511565769155e-01
1.9049312435416666e+14 5.8365667353976541e-04 5.7556327478907654e-01
1.9061803787833334e+14 6.0538639606356960e-04 5.8218750965973654e-01
1.9074295140250000e+14 6.2550533826534482e-04 5.9366941452285937e-01
1.9086786492666666e+14 6.4359879994563913e-04 6.0908077205633349e-01
1.9099277845083334e+14 6.5934341042759746e-04 6.2758072714365432e-01
1.9111769197500000e+14 6.7250022196236258e-04 6.4841119110579726e-01
1.9124260549916666e+14 6.8426876965066528e-04 6.6937055045151161e-01
1.9136751902333334e+14 6.9315568332074871e-04 6.9129607889003886e-01
1.9149243254750000e+14 6.9913980914958261e-04 7.1359523984154538e-01
1.9161734607166666e+14 7.0226818600687758e-04 7.3571840862595528e-01
1.9174225959583334e+14 7.0265307202548250e-04 7.5715023253836622e-01
1.9186717312000000e+14 7.0046910875910264e-04 7.7740391807343578e-01
1.9199208664416666e+14 6.9595033021008505e-04 7.9601889015659810e-01
1.9211700016833334e+14 6.8938668399320035e-04 8.1256235413856126e-01
1.9224191369250000e+14 6.8111966875137773e-04 8.2663537510029683e-01
1.9236682721666666e+14 6.7153661125404329e-04 8.3788408207320597e-01
1.9249174074083334e+14 6.6217684082658706e-04 8.4418583596342267e-01
1.9261665426500000e+14 6.5237160428289836e-04 8.4708930356659773e-01
1.9274156778916666e+14 6.4260176058280065e-04 8.4651115200080007e-01
1.9286648131333334e+14 6.3334606438620526e-04 8.4251249236999926e-01
1.9299139483750000e+14 6.2505990978939027e-04 8.3532308277412715e-01
1.9311630836166666e+14 6.1815142596646701e-04 8.2535525945308053e-01
1.9324122188583331e+14 6.1295678597278545e-04 8.1320084040649732e-01
1.9336613541000000e+14 6.0971748740797896e-04 7.9960606816647251e-01
1.9349104893416666e+14 6.0856283427481578e-04 7.8542390955615182e-01
1.9361596245833331e+14 6.0950055266678334e-04 7.7154878812587735e-01
1.9374087598250000e+14 6.1358454404725118e-04 7.5710017177203814e-01
1.9386578950666666e+14 6.1944926849898682e-04 7.4465818640477532e-01
1.9399070303083331e+14 6.2677022906628993e-04 7.3483383585707418e-01
1.9411561655500000e+14 6.3515316706731209e-04 7.2805100083453456e-01
1.9424053007916666e+14 6.4416057127273340e-04 7.2454230107118378e-01
1.9436544360333331e+14 6.5333701547074863e-04 7.2436323642864264e-01
1.9449035712750000e+14 6.6223137504426430e-04 7.2741746945775498e-01
1.9461527065166666e+14 6.7041502087573424e-04 7.3348640699930068e-01
1.9474018417583331e+14 6.7749591932106347e-04 7.4225790549297443e-01
1.9486509770000000e+14 6.8312908544345058e-04 7.5335096177577865e-01
1.9499001122416666e+14 6.8813796935649060e-04 7.6482516878728923e-01
1.9511492474833331e+14 6.9115052336112621e-04 7.7768924264571604e-01
1.9523983827250000e+14 6.9199597893776380e-04 7.9143235772562026e-01
1.9536475179666666e+14 6.9057173935337004e-04 8.0552327448695016e-01
1.9548966532083331e+14 6.8684562718578362e-04 8.1941239020022727e-01
1.9561457884500000e+14 6.8085778005756421e-04 8.3253220833454100e-01
1.9573949236916666e+14 6.7272234776319427e-04 8.4429762071478176e-01
1.9586440589333331e+14 6.6262900974692123e-04 8.5410761329026585e-01
1.9598931941750000e+14 6.5084416676515001e-04 8.6135036936388110e-01
1.9611423294166666e+14 6.3771143745541749e-04 8.6541424019689162e-01
1.9623914646583331e+14 6.2461701486148211e-04 8.6394513485359292e-01
1.9636405999000000e+14 6.1109925136425204e-04 8.5809877874359297e-01
1.9648897351416666e+14 5.9773230417216891e-04 8.4745479910450361e-01
1.9661388703833331e+14 5.8514322054931340e-04 8.3176750148070100e-01
1.9673880056250000e+14 5.7398862269375202e-04 8.1104202770120204e-01
1.9686371408666666e+14 5.6492115324978430e-04 7.8560969152556404e-01
1.9698862761083331e+14 5.5854604857803335e-04 7.5618212621105274e-01
1.9711354113500000e+14 5.5537136862063546e-04 7.2385892981936906e-01
1.9723845465916666e+14 5.5575908873744888e-04 6.9006814573086506e-01
1.9736336818333331e+14 5.5988671844051379e-04 6.5643652127112095e-01
1.9748828170750000e+14 5.6888185267751706e-04 6.2319423495203830e-01
1.9761319523166666e+14 5.8141399023106883e-04 5.9342040810883712e-01
