("port 1","mode 1",1,"port 1",1,"transmission")
(1001, 3)
1.8737028625000000e+14 2.2105104825418963e-02 1.2497087114469958e+00
1.8738411895569631e+14 2.2062128852556224e-02 1.2565808451719360e+00
1.8739795166139262e+14 2.2019339215530377e-02 1.2634442867037665e+00
1.8741178436708894e+14 2.1976739378887802e-02 1.2702992040045336e+00
1.8742561707278525e+14 2.1934332765281658e-02 1.2771457685017100e+00
1.8743944977848153e+14 2.1892122754521941e-02 1.2839841550904605e+00
1.8745328248417784e+14 2.1850112682621988e-02 1.2908145421339916e+00
1.8746711518987416e+14 2.1808305840869600e-02 1.2976371114621645e+00
1.8748094789557047e+14 2.1766705474892539e-02 1.3044520483685187e+00
1.8749478060126678e+14 2.1725314783741050e-02 1.3112595416058934e+00
1.8750861330696309e+14 2.1684136918982692e-02 1.3180597833799952e+00
1.8752244601265941e+14 2.1643174983814482e-02 1.3248529693412239e+00
1.8753627871835572e+14 2.1602432032169914e-02 1.3316392985755050e+00
1.8755011142405200e+14 2.1561911067857931e-02 1.3384189735918943e+00
1.8756394412974831e+14 2.1521615043688602e-02 1.3451922003101684e+00
1.8757777683544462e+14 2.1481546860655211e-02 1.3519591880447459e+00
1.8759160954114094e+14 2.1441709367121760e-02 1.3587201494889898e+00
1.8760544224683725e+14 2.1402105357920798e-02 1.3654753006948801e+00
1.8761927495253356e+14 2.1362737573671672e-02 1.3722248610534240e+00
1.8763310765822988e+14 2.1323608699932359e-02 1.3789690532716643e+00
1.8764694036392619e+14 2.1284721366452500e-02 1.3857081033484502e+00
1.8766077306962247e+14 2.1246078146427507e-02 1.3924422405478503e+00
1.8767460577531878e+14 2.1207681555763441e-02 1.3991716973707686e+00
1.8768843848101509e+14 2.1169534052389367e-02 1.4058967095254304e+00
1.8770227118671141e+14 2.1131638035537588e-02 1.4126175158941094e+00
1.8771610389240772e+14 2.1093995845094891e-02 1.4193343585003775e+00
1.8772993659810403e+14 2.1056609760946230e-02 1.4260474824719318e+00
1.8774376930380034e+14 2.1019482002346608e-02 1.4327571360036520e+00
1.8775760200949666e+14 2.0982614727317619e-02 1.4394635703170020e+00
1.8777143471519297e+14 2.0946010032057205e-02 1.4461670396186166e+00
1.8778526742088925e+14 2.0909669950377359e-02 1.4528678010568337e+00
1.8779910012658556e+14 2.0873596453167456e-02 1.4595661146754506e+00
1.8781293283228188e+14 2.0837791447888832e-02 1.4662622433669283e+00
1.8782676553797819e+14 2.0802256778055511e-02 1.4729564528222996e+00
1.8784059824367450e+14 2.0766994222799762e-02 1.4796490114809546e+00
1.8785443094937081e+14 2.0732005496420371e-02 1.4863401904761719e+00
1.8786826365506712e+14 2.0697292247942905e-02 1.4930302635810853e+00
1.8788209636076344e+14 2.0662856060756407e-02 1.4997195071520342e+00
1.8789592906645972e+14 2.0628698452264456e-02 1.5064082000693162e+00
1.8790976177215603e+14 2.0594820873499509e-02 1.5130966236774919e+00
1.8792359447785234e+14 2.0561224708850859e-02 1.5197850617232678e+00
1.8793742718354866e+14 2.0527911275780391e-02 1.5264738002911722e+00
1.8795125988924497e+14 2.0494881824547520e-02 1.5331631277391751e+00
1.8796509259494128e+14 2.0462137538011262e-02 1.5398533346305376e+00
1.8797892530063759e+14 2.0429679531411411e-02 1.5465447136660322e+00
1.8799275800633391e+14 2.0397508852208285e-02 1.5532375596133319e+00
1.8800659071203019e+14 2.0365626479951854e-02 1.5599321692352279e+00
1.8802042341772650e+14 2.0334033326161127e-02 1.5666288412165701e+00
1.8803425612342281e+14 2.0302730234248448e-02 1.5733278760897389e+00
1.8804808882911912e+14 2.0271717979471741e-02 1.5800295761581988e+00
1.8806192153481544e+14 2.0240997268916153e-02 1.5867342454194608e+00
1.8807575424051175e+14 2.0210568741496050e-02 1.5934421894866171e+00
1.8808958694620806e+14 2.0180432968013081e-02 1.6001537155078684e+00
1.8810341965190438e+14 2.0150590451205073e-02 1.6068691320860291e+00
1.8811725235760069e+14 2.0121041625866514e-02 1.6135887491957563e+00
1.8813108506329697e+14 2.0091786859000677e-02 1.6203128781009197e+00
1.8814491776899328e+14 2.0062826449903669e-02 1.6270418312696182e+00
1.8815875047468959e+14 2.0034160630473578e-02 1.6337759222898478e+00
1.8817258318038591e+14 2.0005789565335646e-02 1.6405154657819931e+00
1.8818641588608222e+14 1.9977713352163449e-02 1.6472607773130183e+00
1.8820024859177853e+14 1.9949932021930752e-02 1.6540121733087114e+00
1.8821408129747484e+14 1.9922445539242002e-02 1.6607699709641324e+00
1.8822791400317116e+14 1.9895253802684060e-02 1.6675344881559646e+00
1.8824174670886744e+14 1.9868356645190842e-02 1.6743060433514154e+00
1.8825557941456375e+14 1.9841753834468043e-02 1.6810849555191818e+00
1.8826941212026006e+14 1.9815445073411729e-02 1.6878715440381362e+00
1.8828324482595638e+14 1.9789430000596801e-02 1.6946661286066265e+00
1.8829707753165269e+14 1.9763708190762737e-02 1.7014690291508954e+00
1.8831091023734900e+14 1.9738279155345938e-02 1.7082805657338176e+00
1.8832474294304531e+14 1.9713142343021347e-02 1.7151010584628883e+00
1.8833857564874162e+14 1.9688297140315079e-02 1.7219308273985290e+00
1.8835240835443791e+14 1.9663742872190970e-02 1.7287701924620329e+00
1.8836624106013422e+14 1.9639478802699832e-02 1.7356194733440107e+00
1.8838007376583053e+14 1.9615504135648568e-02 1.7424789894121240e+00
1.8839390647152684e+14 1.9591818015298350e-02 1.7493490596202821e+00
1.8840773917722316e+14 1.9568419527083197e-02 1.7562300024162054e+00
1.8842157188291947e+14 1.9545307698355420e-02 1.7631221356511879e+00
1.8843540458861578e+14 1.9522481499169225e-02 1.7700257764893645e+00
1.8844923729431209e+14 1.9499939843061174e-02 1.7769412413165608e+00
1.8846307000000841e+14 1.9477681587893838e-02 1.7838688456518348e+00
1.8847690270570469e+14 1.9455705536695015e-02 1.7908089040570814e+00
1.8849073541140100e+14 1.9434010438524489e-02 1.7977617300492277e+00
1.8850456811709731e+14 1.9412594989384194e-02 1.8047276360116127e+00
1.8851840082279362e+14 1.9391457833115706e-02 1.8117069331075188e+00
1.8853223352848994e+14 1.9370597562349115e-02 1.8186999311929188e+00
1.8854606623418625e+14 1.9350012719462528e-02 1.8257069387320466e+00
1.8855989893988256e+14 1.9329701797557358e-02 1.8327282627117110e+00
1.8857373164557888e+14 1.9309663241467805e-02 1.8397642085583401e+00
1.8858756435127516e+14 1.9289895448768409e-02 1.8468150800548693e+00
1.8860139705697147e+14 1.9270396770812808e-02 1.8538811792596719e+00
1.8861522976266778e+14 1.9251165513798373e-02 1.8609628064259178e+00
1.8862906246836409e+14 1.9232199939829060e-02 1.8680602599218852e+00
1.8864289517406041e+14 1.9213498268006914e-02 1.8751738361538131e+00
1.8865672787975672e+14 1.9195058675523086e-02 1.8823038294880721e+00
1.8867056058545303e+14 1.9176879298805682e-02 1.8894505321767194e+00
1.8868439329114934e+14 1.9158958234632165e-02 1.8966142342823906e+00
1.8869822599684562e+14 1.9141293541233242e-02 1.9037952236065203e+00
1.8871205870254194e+14 1.9123883239560893e-02 1.9109937856167405e+00
1.8872589140823825e+14 1.9106725314329914e-02 1.9182102033786348e+00
1.8873972411393456e+14 1.9089817715278175e-02 1.9254447574857299e+00
1.8875355681963088e+14 1.9073158358336905e-02 1.9326977259936096e+00
1.8876738952532719e+14 1.9056745126817501e-02 1.9399693843543078e+00
1.8878122223102350e+14 1.9040575872626291e-02 1.9472600053523752e+00
1.8879505493671981e+14 1.9024648417478456e-02 1.9545698590431824e+00
1.8880888764241612e+14 1.9008960554128110e-02 1.9618992126917354e+00
1.8882272034811241e+14 1.8993510047572507e-02 1.9692483307139461e+00
1.8883655305380872e+14 1.8978294636303048e-02 1.9766174746198082e+00
1.8885038575950503e+14 1.8963312033536413e-02 1.9840069029572633e+00
1.8886421846520134e+14 1.8948559928449741e-02 1.9914168712582954e+00
1.8887805117089766e+14 1.8934035987427076e-02 1.9988476319871058e+00
1.8889188387659397e+14 1.8919737855300968e-02 2.0062994344891374e+00
1.8890571658229028e+14 1.8905663156595750e-02 2.0137725249423921e+00
1.8891954928798659e+14 1.8891746691985786e-02 2.0212585153203579e+00
1.8893338199368288e+14 1.8878038386257023e-02 2.0287652311819100e+00
1.8894721469937919e+14 1.8864543505425799e-02 2.0362939920106520e+00
1.8896104740507550e+14 1.8851259603722248e-02 2.0438450331880635e+00
1.8897488011077181e+14 1.8838184221573236e-02 2.0514185867257160e+00
1.8898871281646812e+14 1.8825314886834536e-02 2.0590148812277893e+00
1.8900254552216444e+14 1.8812649116025773e-02 2.0666341418532106e+00
1.8901637822786075e+14 1.8800184415600971e-02 2.0742765902807196e+00
1.8903021093355706e+14 1.8787918283144019e-02 2.0819424446750170e+00
1.8904404363925334e+14 1.8775848208612615e-02 2.0896319196547104e+00
1.8905787634494966e+14 1.8763971675549076e-02 2.0973452262621537e+00
1.8907170905064597e+14 1.8752286162292353e-02 2.1050825719345698e+00
1.8908554175634228e+14 1.8740789143178095e-02 2.1128441604769468e+00
1.8909937446203859e+14 1.8729478089731137e-02 2.1206301920366912e+00
1.8911320716773491e+14 1.8718350471844031e-02 2.1284408630793394e+00
1.8912703987343122e+14 1.8707403758954529e-02 2.1362763663661899e+00
1.8914087257912753e+14 1.8696635421199755e-02 2.1441368909337157e+00
1.8915470528482384e+14 1.8686042930563428e-02 2.1520226220743206e+00
1.8916853799052012e+14 1.8675623762018600e-02 2.1599337413174213e+00
1.8918237069621644e+14 1.8665375394647809e-02 2.1678704264143418e+00
1.8919620340191275e+14 1.8655295312745662e-02 2.1758328513223417e+00
1.8921003610760906e+14 1.8645381006914430e-02 2.1838211861912513e+00
1.8922386881330538e+14 1.8635629975169609e-02 2.1918355973515742e+00
1.8923770151900169e+14 1.8626039723949231e-02 2.1998762473026492e+00
1.8925153422469800e+14 1.8616607769215251e-02 2.2079432947050144e+00
1.8926536693039431e+14 1.8607331637480472e-02 2.2160368943687314e+00
1.8927919963609059e+14 1.8598208866788153e-02 2.2241571972497867e+00
1.8929303234178691e+14 1.8589237007749997e-02 2.2323043504420736e+00
1.8930686504748322e+14 1.8580413624499845e-02 2.2404784971735965e+00
1.8932069775317953e+14 1.8571736295677641e-02 2.2486797768025233e+00
1.8933453045887584e+14 1.8563202615361828e-02 2.2569083248146127e+00
1.8934836316457216e+14 1.8554810193989888e-02 2.2651642728225485e+00
1.8936219587026847e+14 1.8546556659278575e-02 2.2734477485650504e+00
1.8937602857596478e+14 1.8538439657106789e-02 2.2817588759073391e+00
1.8938986128166106e+14 1.8530456852363614e-02 2.2900977748437916e+00
1.8940369398735738e+14 1.8522605929823747e-02 2.2984645614995745e+00
1.8941752669305369e+14 1.8514884594947736e-02 2.3068593481346253e+00
1.8943135939875000e+14 1.8507290574694992e-02 2.3152822431479199e+00
1.8944519210444631e+14 1.8499821618311551e-02 2.3237333510828249e+00
1.8945902481014262e+14 1.8492475498081039e-02 2.3322127726330488e+00
1.8947285751583894e+14 1.8485250010072563e-02 2.3407206046494076e+00
1.8948669022153525e+14 1.8478142974849284e-02 2.3492569401473702e+00
