("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 6.3916238183940914e-04 1.4811555484507610e+00
1.8749519977416666e+14 5.6067924779255234e-04 1.4429279851734511e+00
1.8762011329833334e+14 4.8719393619451050e-04 1.3684642616832330e+00
1.8774502682250000e+14 4.2435662882769486e-04 1.2441777450343297e+00
1.8786994034666666e+14 3.8031952027397115e-04 1.0607663243624197e+00
1.8799485387083334e+14 3.6424131462254412e-04 8.3070957787535094e-01
1.8811976739500000e+14 3.8110240264479042e-04 5.9825905970995374e-01
1.8824468091916666e+14 4.2759607301061495e-04 4.0980604855445629e-01
1.8836959444333334e+14 4.9534139277398093e-04 2.8097037862915880e-01
1.8849450796750000e+14 5.7628235995759933e-04 2.0366605473323093e-01
1.8861942149166666e+14 6.6464033693653768e-04 1.6427322047579029e-01
1.8874433501583334e+14 7.5814493494922642e-04 1.5122577173760390e-01
1.8886924854000000e+14 8.5266031989694973e-04 1.5686427285225790e-01
1.8899416206416666e+14 9.4634977589650848e-04 1.7576488110875318e-01
1.8911907558833334e+14 1.0378274841254531e-03 2.0430179717513633e-01
1.8924398911250000e+14 1.1259891367632628e-03 2.4000743631416699e-01
1.8936890263666666e+14 1.2099171692598449e-03 2.8116349050861567e-01
1.8949381616083334e+14 1.2888268533511763e-03 3.2654447964503258e-01
1.8961872968500000e+14 1.3620350700258416e-03 3.7525579030926126e-01
1.8974364320916666e+14 1.4289419509507669e-03 4.2662961144051542e-01
1.8986855673333334e+14 1.4890199843141086e-03 4.8015664552624937e-01
1.8999347025750000e+14 1.5431245789000040e-03 5.3496452514063464e-01
1.9011838378166666e+14 1.5894531815039826e-03 5.9114818829229920e-01
1.9024329730583334e+14 1.6276505077213153e-03 6.4845086584186973e-01
1.9036821083000000e+14 1.6574200590270629e-03 7.0665831114001620e-01
1.9049312435416666e+14 1.6785235557941203e-03 7.6558684116899800e-01
1.9061803787833334e+14 1.6907806201225946e-03 8.2507415838827192e-01
1.9074295140250000e+14 1.6940685565530948e-03 8.8497197744528366e-01
1.9086786492666666e+14 1.6883221408510020e-03 9.4513974438552917e-01
1.9099277845083334e+14 1.6735333697657968e-03 1.0054388833943328e+00
1.9111769197500000e+14 1.6497511574687976e-03 1.0657270677935500e+00
1.9124260549916666e+14 1.6177386582270131e-03 1.1250544222243517e+00
1.9136751902333334e+14 1.5768450622146665e-03 1.1839598404017961e+00
1.9149243254750000e+14 1.5272840890502408e-03 1.2422347691405060e+00
1.9161734607166666e+14 1.4693280794797967e-03 1.2996276532209428e+00
1.9174225959583334e+14 1.4033088885950142e-03 1.3558251801068060e+00
1.9186717312000000e+14 1.3296197703248998e-03 1.4104249911778297e+00
1.9199208664416666e+14 1.2487190018451524e-03 1.4628945766121004e+00
1.9211700016833334e+14 1.1611365688861265e-03 1.5125071799649108e+00
1.9224191369250000e+14 1.0674863391630419e-03 1.5582381397217646e+00
1.9236682721666666e+14 9.6848840062360025e-04 1.5985904315361670e+00
