("port 1","mode 2",2,"port 1",2,"transmission")
(101, 3)
1.8737028625000000e+14 6.1446755575651118e-04 2.0549602277691958e-01
1.8749519977416666e+14 6.4429704340272136e-04 2.2295063607027302e-01
1.8762011329833334e+14 6.7508444933529006e-04 2.4827796909233918e-01
1.8774502682250000e+14 7.0600162323359000e-04 2.8035749554561379e-01
1.8786994034666666e+14 7.3632950790334252e-04 3.1809623207079313e-01
1.8799485387083334e+14 7.6544379311818548e-04 3.6048437816011886e-01
1.8811976739500000e+14 7.9280063384575634e-04 4.0661579742115483e-01
1.8824468091916666e+14 8.1792442854594486e-04 4.5568859916347471e-01
1.8836959444333334e+14 8.4039830683904973e-04 5.0699560343466954e-01
1.8849450796750000e+14 8.5985731169380716e-04 5.5991037866061522e-01
1.8861942149166666e+14 8.7598398840286855e-04 6.1387187450546243e-01
1.8874433501583334e+14 8.8654579845934083e-04 6.7028991623517054e-01
1.8886924854000000e+14 8.9346440378464890e-04 7.2697804608827410e-01
1.8899416206416666e+14 8.9657372409736237e-04 7.8348463648806577e-01
1.8911907558833334e+14 8.9574995401211870e-04 8.3936717248427795e-01
1.8924398911250000e+14 8.9091388439134847e-04 8.9417892243676822e-01
1.8936890263666666e+14 8.8203438360690120e-04 9.4745475497236609e-01
1.8949381616083334e+14 8.6913309872932985e-04 9.9869550291225895e-01
1.8961872968500000e+14 8.5229054857801376e-04 1.0473501961844238e+00
1.8974364320916666e+14 8.3165391731923090e-04 1.0927954544162097e+00
1.8986855673333334e+14 8.0744702347978808e-04 1.1343114156535170e+00
1.8999347025750000e+14 7.7914566398426120e-04 1.1739897234704588e+00
1.9011838378166666e+14 7.4815288562576497e-04 1.2082173113247945e+00
1.9024329730583334e+14 7.1497063892528117e-04 1.2358514764513064e+00
1.9036821083000000e+14 6.8024005080808119e-04 1.2555429942812233e+00
1.9049312435416666e+14 6.4477199790560606e-04 1.2657268375898996e+00
1.9061803787833334e+14 6.0958213579478742e-04 1.2646575114107454e+00
1.9074295140250000e+14 5.7592475139665975e-04 1.2505358269247966e+00
1.9086786492666666e+14 5.4531124702660797e-04 1.2217953490426592e+00
1.9099277845083334e+14 5.1948565199804787e-04 1.1776146134276950e+00
1.9111769197500000e+14 5.0031670511864620e-04 1.1186394252803780e+00
1.9124260549916666e+14 4.8852613987732108e-04 1.0518471680526467e+00
1.9136751902333334e+14 4.8619205252599347e-04 9.7792211669977092e-01
1.9149243254750000e+14 4.9393061470081256e-04 9.0323255294272486e-01
1.9161734607166666e+14 5.1152321889142989e-04 8.3420417960349480e-01
1.9174225959583334e+14 5.3800044904537343e-04 7.7578396089926749e-01
1.9186717312000000e+14 5.7190170108874282e-04 7.3068477517434649e-01
1.9199208664416666e+14 6.1156840663718339e-04 6.9955075799344546e-01
1.9211700016833334e+14 6.5536346720651150e-04 6.8161382470789977e-01
1.9224191369250000e+14 7.0178989187273568e-04 6.7537731626385022e-01
1.9236682721666666e+14 7.4953235695960295e-04 6.7910658900442322e-01
1.9249174074083334e+14 7.9586312710077203e-04 6.9291772649293049e-01
1.9261665426500000e+14 8.4144997546406421e-04 7.1335408496465214e-01
1.9274156778916666e+14 8.8548339819714426e-04 7.3914828586290737e-01
1.9286648131333334e+14 9.2726685759715209e-04 7.6921566223302706e-01
1.9299139483750000e+14 9.6620108356904120e-04 8.0263424003218309e-01
1.9311630836166666e+14 1.0017723690928996e-03 8.3861857470038004e-01
1.9324122188583331e+14 1.0335443762141457e-03 8.7649351385081253e-01
1.9336613541000000e+14 1.0611527880178555e-03 9.1567035180551559e-01
1.9349104893416666e+14 1.0843021822249427e-03 9.5562605748827734e-01
1.9361596245833331e+14 1.1027646148954236e-03 9.9588545074826562e-01
1.9374087598250000e+14 1.1155930292876899e-03 1.0373423920017495e+00
1.9386578950666666e+14 1.1235638283766715e-03 1.0783351209961283e+00
1.9399070303083331e+14 1.1266625092350849e-03 1.1184604275188961e+00
1.9411561655500000e+14 1.1249438245802090e-03 1.1573130665901177e+00
1.9424053007916666e+14 1.1185344623959228e-03 1.1944765081037902e+00
1.9436544360333331e+14 1.1076363800048147e-03 1.2295145005337416e+00
1.9449035712750000e+14 1.0925308007984906e-03 1.2619636035236572e+00
1.9461527065166666e+14 1.0735828670909062e-03 1.2913271614921809e+00
1.9474018417583331e+14 1.0512468757962416e-03 1.3170716489463798e+00
1.9486509770000000e+14 1.0260718740088565e-03 1.3386269692267130e+00
1.9499001122416666e+14 9.9859028951375709e-04 1.3562562742265931e+00
1.9511492474833331e+14 9.6967748490267396e-04 1.3686089512934978e+00
1.9523983827250000e+14 9.4017887718291621e-04 1.3751016227388757e+00
1.9536475179666666e+14 9.1103731387387195e-04 1.3752168957475726e+00
1.9548966532083331e+14 8.8327992837794022e-04 1.3685748761613992e+00
1.9561457884500000e+14 8.5799143192960884e-04 1.3550272735766353e+00
1.9573949236916666e+14 8.3626928690926495e-04 1.3347654159515148e+00
1.9586440589333331e+14 8.1915833211719264e-04 1.3084204656396674e+00
1.9598931941750000e+14 8.0756761162189075e-04 1.2771208238393477e+00
1.9611423294166666e+14 8.0218002132994789e-04 1.2424677038905170e+00
1.9623914646583331e+14 8.0328569705513772e-04 1.2068740823180149e+00
1.9636405999000000e+14 8.1096453763296393e-04 1.1719297713567549e+00
1.9648897351416666e+14 8.2488852768312557e-04 1.1395594205285853e+00
1.9661388703833331e+14 8.4442122152803456e-04 1.1113412589452560e+00
1.9673880056250000e+14 8.6869346920768261e-04 1.0883802918697847e+00
1.9686371408666666e+14 8.9669139557938308e-04 1.0712847971053627e+00
1.9698862761083331e+14 9.2733865567311649e-04 1.0602232492729402e+00
1.9711354113500000e+14 9.5956224029816707e-04 1.0550232187108473e+00
1.9723845465916666e+14 9.9233876376622772e-04 1.0552778139123338e+00
1.9736336818333331e+14 1.0247233128067136e-03 1.0604383237072328e+00
1.9748828170750000e+14 1.0557778540323927e-03 1.0701019593119558e+00
1.9761319523166666e+14 1.0848409423835428e-03 1.0834012370077348e+00
1.9773810875583331e+14 1.1112682012809328e-03 1.0997004032778182e+00
1.9786302228000000e+14 1.1345168495007073e-03 1.1183843887117093e+00
1.9798793580416666e+14 1.1541439069056251e-03 1.1388646805778688e+00
1.9811284932833331e+14 1.1698043839089547e-03 1.1605791604082010e+00
1.9823776285250000e+14 1.1812499724949094e-03 1.1829883079111660e+00
1.9836267637666666e+14 1.1883284902509416e-03 1.2055694121008544e+00
1.9848758990083331e+14 1.1909841761673461e-03 1.2278099050383440e+00
1.9861250342500000e+14 1.1892588509189799e-03 1.2492006246991496e+00
1.9873741694916666e+14 1.1832780240954620e-03 1.2693224778509518e+00
1.9886233047333331e+14 1.1733013642435779e-03 1.2875689996466899e+00
1.9898724399750000e+14 1.1596774055227252e-03 1.3034118214885468e+00
1.9911215752166666e+14 1.1428632975453976e-03 1.3163134712948283e+00
1.9923707104583331e+14 1.1234278538460576e-03 1.3257334953502795e+00
1.9936198457000000e+14 1.1020532999170777e-03 1.3311419730870133e+00
1.9948689809416666e+14 1.0795342538245916e-03 1.3320430332943143e+00
1.9961181161833331e+14 1.0567717924325043e-03 1.3280109419206938e+00
1.9973672514250000e+14 1.0347597276751635e-03 1.3187403077727293e+00
1.9986163866666666e+14 1.0145597016207554e-03 1.3041092330296205e+00
("port 2","mode 2",2,"port 1",2,"transmission")
(101, 3)
1.8737028625000000e+14 2.3731615589422175e-03 2.6760801443244850e+00
1.8749519977416666e+14 2.3059173354161035e-03 2.6837106004632729e+00
1.8762011329833334e+14 2.2510098116290799e-03 2.6894734775193365e+00
1.8774502682250000e+14 2.2085199867021969e-03 2.6945058118339262e+00
1.8786994034666666e+14 2.1779489508339947e-03 2.7000433587354360e+00
1.8799485387083334e+14 2.1582366454304673e-03 2.7073058784215775e+00
1.8811976739500000e+14 2.1478358135659870e-03 2.7173850698571029e+00
1.8824468091916666e+14 2.1448281546812345e-03 2.7311578840535327e+00
1.8836959444333334e+14 2.1470618434122073e-03 2.7492386657230590e+00
1.8849450796750000e+14 2.1522887743556027e-03 2.7719711312536939e+00
1.8861942149166666e+14 2.1582850076316035e-03 2.7994513385129913e+00
1.8874433501583334e+14 2.1631418524314066e-03 2.8314649005136157e+00
1.8886924854000000e+14 2.1647372050359703e-03 2.8678435896399552e+00
1.8899416206416666e+14 2.1613796216994993e-03 2.9081965882062319e+00
1.8911907558833334e+14 2.1516317719921588e-03 2.9520495389202299e+00
1.8924398911250000e+14 2.1343211826018631e-03 2.9988686042022668e+00
1.8936890263666666e+14 2.1085425148021034e-03 3.0480741846704285e+00
1.8949381616083334e+14 2.0736553636397262e-03 3.0990450955968663e+00
1.8961872968500000e+14 2.0292806446186883e-03 3.1511140523525456e+00
1.8974364320916666e+14 1.9752979783674335e-03 3.2035549338360152e+00
1.8986855673333334e+14 1.9118461680759824e-03 3.2555616908577982e+00
1.8999347025750000e+14 1.8394524515128385e-03 3.3060901826751738e+00
1.9011838378166666e+14 1.7586626944752740e-03 3.3541885040766455e+00
1.9024329730583334e+14 1.6704646422945426e-03 3.3985827899730920e+00
1.9036821083000000e+14 1.5761909758128846e-03 3.4377291958430747e+00
1.9049312435416666e+14 1.4775815981087194e-03 3.4697387812558937e+00
1.9061803787833334e+14 1.3768738490542404e-03 3.4923070242323799e+00
1.9074295140250000e+14 1.2769239742376098e-03 3.5026871401255200e+00
1.9086786492666666e+14 1.1813501303854471e-03 3.4977974763305948e+00
1.9099277845083334e+14 1.0946509843922413e-03 3.4746358304679088e+00
1.9111769197500000e+14 1.0221785007982511e-03 3.4312426841436157e+00
1.9124260549916666e+14 9.6988222673009719e-04 3.3681270314849945e+00
1.9136751902333334e+14 9.4293209691748332e-04 3.2905788361505297e+00
1.9149243254750000e+14 9.4459821629258567e-04 3.2082980988465164e+00
1.9161734607166666e+14 9.7494851648301901e-04 3.1329950779555946e+00
1.9174225959583334e+14 1.0308438980670151e-03 3.0742818379917276e+00
1.9186717312000000e+14 1.1071149289770010e-03 3.0371532212441976e+00
1.9199208664416666e+14 1.1980180955994033e-03 3.0222690236148138e+00
1.9211700016833334e+14 1.2982182483173036e-03 3.0276801733509253e+00
1.9224191369250000e+14 1.4031833228561614e-03 3.0504373614641591e+00
1.9236682721666666e+14 1.5092138113206920e-03 3.0875414966864563e+00
1.9249174074083334e+14 1.6135113710689444e-03 3.1362896451386759e+00
1.9261665426500000e+14 1.7134731570366032e-03 3.1945607023483924e+00
1.9274156778916666e+14 1.8071374257725363e-03 3.2606038187291109e+00
1.9286648131333334e+14 1.8928993660697936e-03 3.3330334052771282e+00
1.9299139483750000e+14 1.9694434286834108e-03 3.4107552325875634e+00
1.9311630836166666e+14 2.0356957098347723e-03 3.4929021597130085e+00
1.9324122188583331e+14 2.0907906413228294e-03 3.5787823786889503e+00
1.9336613541000000e+14 2.1340475224950655e-03 3.6678391540339339e+00
1.9349104893416666e+14 2.1649536622116773e-03 3.7596199539982500e+00
1.9361596245833331e+14 2.1831518639460522e-03 3.8537528604965137e+00
1.9374087598250000e+14 2.1885131928087039e-03 3.9498493178093339e+00
1.9386578950666666e+14 2.1808594000537851e-03 4.0477239310036293e+00
1.9399070303083331e+14 2.1602463679614094e-03 4.1471526673394159e+00
1.9411561655500000e+14 2.1268542808523029e-03 4.2479400039058932e+00
1.9424053007916666e+14 2.0809811416490501e-03 4.3499114552545075e+00
1.9436544360333331e+14 2.0230361915097167e-03 4.4529070055753746e+00
1.9449035712750000e+14 1.9535330996067629e-03 4.5567749244929159e+00
1.9461527065166666e+14 1.8730828546919907e-03 4.6613654192040608e+00
1.9474018417583331e+14 1.7823863417849809e-03 4.7665234568433794e+00
1.9486509770000000e+14 1.6822266333319086e-03 4.8720798302496311e+00
1.9499001122416666e+14 1.5733834130397090e-03 4.9777409822934757e+00
1.9511492474833331e+14 1.4568393402800621e-03 5.0833606568504903e+00
1.9523983827250000e+14 1.3335787134473296e-03 5.1886262503042557e+00
1.9536475179666666e+14 1.2046374028975325e-03 5.2931072699865345e+00
1.9548966532083331e+14 1.0710970670143513e-03 5.3961749323758941e+00
1.9561457884500000e+14 9.3408252875407452e-04 5.4968514391302072e+00
1.9573949236916666e+14 7.9476633918796474e-04 5.5935041503150229e+00
1.9586440589333331e+14 6.5439113869391176e-04 5.6831602373796173e+00
1.9598931941750000e+14 5.1434242440901877e-04 5.7597559685125255e+00
1.9611423294166666e+14 3.7639502016124563e-04 5.8087712667640448e+00
1.9623914646583331e+14 2.4363146011824509e-04 5.7854746343176000e+00
1.9636405999000000e+14 1.2795403245628300e-04 5.4899434966942753e+00
1.9648897351416666e+14 1.0125983453609625e-04 4.3942147720697893e+00
1.9661388703833331e+14 1.9379162554420502e-04 3.8741266862846140e+00
1.9673880056250000e+14 3.0659961456759935e-04 3.8038251668094656e+00
1.9686371408666666e+14 4.1792960446148530e-04 3.8405968738863887e+00
1.9698862761083331e+14 5.2357775013189486e-04 3.9152514537883558e+00
1.9711354113500000e+14 6.2186876516584055e-04 4.0075800069894534e+00
1.9723845465916666e+14 7.1179522823664983e-04 4.1097272212323936e+00
1.9736336818333331e+14 7.9262820834389257e-04 4.2180435575077073e+00
1.9748828170750000e+14 8.6386152617177515e-04 4.3304909026403768e+00
1.9761319523166666e+14 9.2497734145317509e-04 4.4461333826115945e+00
1.9773810875583331e+14 9.7564500698821461e-04 4.5643315699689229e+00
1.9786302228000000e+14 1.0156361176576912e-03 4.6847016909082315e+00
1.9798793580416666e+14 1.0448206429519550e-03 4.8070211031856704e+00
1.9811284932833331e+14 1.0631644360017531e-03 4.9311784696912353e+00
1.9823776285250000e+14 1.0707272080403079e-03 5.0571479692451877e+00
1.9836267637666666e+14 1.0676606015437883e-03 5.1849780332128859e+00
1.9848758990083331e+14 1.0542062763140988e-03 5.3147904167443105e+00
1.9861250342500000e+14 1.0306941124280712e-03 5.4467884126219595e+00
1.9873741694916666e+14 9.9747733181653289e-04 5.5811810347024702e+00
1.9886233047333331e+14 9.5510387345356166e-04 5.7185068186265848e+00
