.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.501578146656399e-06,-0.007906547823994119,-0.07710765490012432,306.2031017712296,4.045172176948223e-12,247208266114.9975,-2.624640803341908e-05,22.21262562464255,-22.21262562464255
1.50160944094383e-06,-0.0160368365941052,-0.07600503719885877,306.0973368109665,4.045172176948223e-12,247208266114.9975,-2.624640803341908e-05,22.19398594656464,-22.19398594656464
1.501640736535693e-06,-0.02402128370110135,-0.07404802468761433,305.9915933242957,4.044497654277937e-12,247249494369.7846,-1.68603486028395e-05,22.17517913850659,-22.17517913850659
1.501672033432068e-06,-0.03177109270582294,-0.07125525790405765,305.8858636325542,4.044153368391306e-12,247270543153.9514,-5.141175414085416e-06,22.15617096318798,-22.15617096318798
1.501703331633038e-06,-0.0391998326374392,-0.06765421212575511,305.7801381474344,4.04419998673741e-12,247267692814.255,8.119878306892393e-06,22.1369450517373,-22.1369450517373
1.501734631138684e-06,-0.04622417341075422,-0.06328091908069954,305.6744060181764,4.044603222885936e-12,247243040885.1014,1.764621817422346e-05,22.11750370541735,-22.11750370541735
1.501765931949088e-06,-0.05276441605813943,-0.05817989644711218,305.5686594491947,4.045320067358172e-12,247199228577.4949,2.815713542449929e-05,22.09786359489638,-22.09786359489638
1.501797234064331e-06,-0.05874553578038282,-0.0524036394407244,305.4628898385504,4.046374362667762e-12,247134820056.7145,3.920519437839898e-05,22.0780593137471,-22.0780593137471
1.501828537484495e-06,-0.06409790889276892,-0.04601220807850598,305.3570881440131,4.04806571971529e-12,247031562538.548,6.885631231417029e-05,22.05814237083531,-22.05814237083531
1.501859842209661e-06,-0.06875991054976978,-0.03907245715317983,305.2512300979978,4.050281757674717e-12,246896403714.4182,7.272210346284845e-05,22.03801694978002,-22.03801694978002
1.501891148239911e-06,-0.07267456831903316,-0.03165795508573935,305.1453125342894,4.052285353748954e-12,246774329225.0765,5.527890779065954e-05,22.01776332891519,-22.01776332891519
1.501922455575327e-06,-0.07579091537055158,-0.02384927261088215,305.0393497269746,4.054019585745809e-12,246668763889.5638,5.550866952701444e-05,21.99760725820868,-21.99760725820868
1.501953764215991e-06,-0.07806830337568654,-0.01573211471542132,304.9333414861083,4.055728452126382e-12,246564830906.1986,5.365397370657165e-05,21.97762845139039,-21.97762845139039
1.501985074161983e-06,-0.07947523971221755,-0.007396701764510813,304.8272893279183,4.057367571883042e-12,246465222162.7274,5.104889654792607e-05,21.95790695896131,-21.95790695896131
1.502016385413386e-06,-0.07998996974587089,0.00106329051567936,304.7211953829932,4.058874138378314e-12,246373739590.6395,4.518286308486124e-05,21.93852202548128,-21.93852202548128
1.502047697970281e-06,-0.07960099735662528,0.009551636869724205,304.6150644515087,4.060154250051638e-12,246296061285.6721,3.65807875113148e-05,21.9195436419033,-21.9195436419033
1.50207901183275e-06,-0.07830748468503949,0.01797077367891445,304.5089035738499,4.06116487865792e-12,246234770042.2512,2.796771195323186e-05,21.90103022443461,-21.90103022443461
