["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(195, 3)
236019267601931 0.009636 0.000000
235941300926852 0.009809 0.000000
235871680689373 0.010025 0.000000
235819492514556 0.010216 0.000000
235738828399502 0.010403 0.000000
235683668999817 0.010605 0.000000
235628535407061 0.010800 0.000000
235550826624980 0.011028 0.000000
235486276529010 0.011281 0.000000
235412490622064 0.011545 0.000000
235330694791746 0.011853 0.000000
235261434568190 0.012141 0.000000
235214586200745 0.012361 0.000000
235157620454630 0.012602 0.000000
235099717497292 0.012878 0.000000
235041843047872 0.013140 0.000000
234988816586771 0.013418 0.000000
234930996718668 0.013681 0.000000
234873205481162 0.013960 0.000000
234821458161232 0.014233 0.000000
234769733638242 0.014533 0.000000
234712021518983 0.014830 0.000000
234654337766840 0.015140 0.000000
234611093647874 0.015427 0.000000
234558261344707 0.015726 0.000000
234489254877091 0.016113 0.000000
234443073217736 0.016436 0.000000
234384322945740 0.016804 0.000000
234318413864475 0.017200 0.000000
234275293276323 0.017550 0.000000
234208248667356 0.017781 0.000000
234157990204932 0.018307 0.000000
233961949523737 0.019804 0.000000
233998980915825 0.019254 0.000000
233884739267279 0.020249 0.000000
233848539509279 0.020651 0.000000
233689950076514 0.021558 0.000000
233627408152589 0.022273 0.000000
233551013469598 0.022837 0.000000
233481607099626 0.023408 0.000000
233415015747088 0.023926 0.000000
233356779533591 0.024420 0.000000
233299759916601 0.024889 0.000000
233247516498193 0.025369 0.000000
233182245119424 0.025893 0.000000
233113057724094 0.026481 0.000000
233035616495686 0.027126 0.000000
232967700419574 0.027728 0.000000
232915605596609 0.028295 0.000000
232838098367357 0.028842 0.000000
232780149640015 0.029486 0.000000
232701551046706 0.030138 0.000000
232621627921999 0.030886 0.000000
232551592626325 0.031580 0.000000
232483958344840 0.032191 0.000000
232406934462787 0.032899 0.000000
232339384286397 0.033580 0.000000
232272265676509 0.034177 0.000000
232206362273274 0.034871 0.000000
232126778881210 0.035631 0.000000
232047641752760 0.036454 0.000000
231958383427926 0.037216 0.000000
231902045063697 0.037823 0.000000
231830194731838 0.038573 0.000000
231748818195849 0.039348 0.000000
231664083234192 0.040235 0.000000
231333157068671 0.043698 0.000000
231244739088404 0.044533 0.000000
231144147479751 0.045483 0.000000
