('port 1',TE,1,'port 1',1,'transmission')
(500,3)
1.999950e+14 3.872418e-06 -7.805387e-01
1.999677e+14 4.297383e-06 -1.150339e+00
1.999404e+14 4.153717e-06 -1.519619e+00
1.999132e+14 3.459317e-06 -1.890247e+00
1.998859e+14 2.305136e-06 -2.266722e+00
1.998587e+14 8.442036e-07 -2.684560e+00
1.998315e+14 7.399034e-07 2.660774e-01
1.998042e+14 2.222782e-06 -1.619531e-01
1.997770e+14 3.417853e-06 -5.388034e-01
1.997498e+14 4.164951e-06 -9.089691e-01
1.997226e+14 4.364152e-06 -1.277404e+00
1.996954e+14 3.987787e-06 -1.646018e+00
1.996682e+14 3.084113e-06 -2.017139e+00
1.996411e+14 1.771236e-06 -2.399285e+00
1.996139e+14 2.296938e-07 -3.033818e+00
1.995867e+14 1.367876e-06 1.029891e-01
1.995596e+14 2.777092e-06 -2.878514e-01
1.995324e+14 3.826035e-06 -6.599735e-01
1.995053e+14 4.375092e-06 -1.028211e+00
1.994781e+14 4.350508e-06 -1.395566e+00
1.994510e+14 3.753821e-06 -1.763808e+00
1.994239e+14 2.661801e-06 -2.136320e+00
1.993968e+14 1.217018e-06 -2.532243e+00
1.993697e+14 4.022012e-07 4.811633e-01
1.993426e+14 1.962059e-06 -2.394900e-02
1.993155e+14 3.275008e-06 -4.024859e-01
1.992884e+14 4.163790e-06 -7.715847e-01
1.992613e+14 4.510240e-06 -1.138315e+00
1.992343e+14 4.267116e-06 -1.504825e+00
1.992072e+14 3.464258e-06 -1.873072e+00
1.991801e+14 2.204928e-06 -2.248589e+00
1.991531e+14 6.543234e-07 -2.689729e+00
1.991261e+14 9.973867e-07 2.723192e-01
1.990990e+14 2.517790e-06 -1.344921e-01
1.990720e+14 3.716999e-06 -5.069454e-01
1.990450e+14 4.436089e-06 -8.738564e-01
1.990180e+14 4.579187e-06 -1.239306e+00
1.989910e+14 4.125205e-06 -1.605051e+00
1.989640e+14 3.130705e-06 -1.973534e+00
1.989370e+14 1.723209e-06 -2.354758e+00
1.989100e+14 1.098355e-07 -3.403065e+00
1.988830e+14 1.577590e-06 -6.130692e+00
1.988561e+14 3.035634e-06 -6.514720e+00
1.988291e+14 4.103970e-06 -6.883390e+00
1.988022e+14 4.642376e-06 -7.249099e+00
1.987752e+14 4.580827e-06 -7.614667e+00
1.987483e+14 3.927111e-06 -7.981786e+00
1.987213e+14 2.764064e-06 -8.353794e+00
1.986944e+14 1.238641e-06 -8.751442e+00
1.986675e+14 4.684129e-07 -5.743102e+00
1.986406e+14 2.116839e-06 -6.233917e+00
1.986137e+14 3.509994e-06 -6.608566e+00
1.985868e+14 4.457240e-06 -6.972685e+00
1.985599e+14 4.827190e-06 -7.333607e+00
1.985330e+14 4.565283e-06 -7.694029e+00
1.985062e+14 3.703613e-06 -8.056537e+00
1.984793e+14 2.356485e-06 -8.427203e+00
1.984525e+14 7.042266e-07 -8.863937e+00
1.984256e+14 1.050444e-06 -5.899199e+00
1.983988e+14 2.665236e-06 -6.305416e+00
1.983719e+14 3.945928e-06 -6.677121e+00
1.983451e+14 4.728615e-06 -7.043179e+00
1.983183e+14 4.910386e-06 -7.407282e+00
1.982915e+14 4.461953e-06 -7.770952e+00
1.982647e+14 3.434073e-06 -8.136523e+00
1.982379e+14 1.954256e-06 -8.513080e+00
1.982111e+14 2.229339e-07 -9.194144e+00
1.981843e+14 1.576375e-06 -1.228063e+01
1.981575e+14 3.165477e-06 -1.266438e+01
1.981307e+14 4.356238e-06 -1.303024e+01
1.981040e+14 4.992979e-06 -1.339245e+01
1.980772e+14 4.990993e-06 -1.375383e+01
1.980505e+14 4.346734e-06 -1.411597e+01
1.980237e+14 3.138809e-06 -1.448194e+01
1.979970e+14 1.519363e-06 -1.486784e+01
1.979703e+14 3.205714e-07 -1.177199e+01
1.979436e+14 2.111231e-06 -1.234898e+01
1.979168e+14 3.651060e-06 -1.272312e+01
1.978901e+14 4.732538e-06 -1.308644e+01
1.978634e+14 5.213582e-06 -1.344710e+01
1.978368e+14 5.028463e-06 -1.380730e+01
1.978101e+14 4.196388e-06 -1.416883e+01
1.977834e+14 2.819745e-06 -1.453603e+01
1.977567e+14 1.072806e-06 -1.494187e+01
1.977301e+14 8.339410e-07 -1.197618e+01
1.977034e+14 2.637551e-06 -1.240236e+01
1.976768e+14 4.118841e-06 -1.277067e+01
1.976501e+14 5.083565e-06 -1.313180e+01
1.976235e+14 5.404249e-06 -1.349101e+01
1.975969e+14 5.035022e-06 -1.385016e+01
1.975702e+14 4.017975e-06 -1.421130e+01
1.975436e+14 2.478687e-06 -1.458086e+01
1.975170e+14 6.141254e-07 -1.504435e+01
1.974904e+14 1.356893e-06 -1.205016e+01
1.974638e+14 3.159391e-06 -1.244247e+01
1.974373e+14 4.573440e-06 -1.280667e+01
1.974107e+14 5.414222e-06 -1.316582e+01
1.973841e+14 5.569567e-06 -1.352360e+01
1.973576e+14 5.014028e-06 -1.388173e+01
1.973310e+14 3.812843e-06 -1.424269e+01
1.973045e+14 2.114701e-06 -1.461648e+01
1.972779e+14 1.581113e-07 -1.554168e+01
1.972514e+14 1.889869e-06 -1.837506e+01
1.972249e+14 3.681775e-06 -1.875265e+01
1.971983e+14 5.019766e-06 -1.911363e+01
1.971718e+14 5.728578e-06 -1.947091e+01
1.971453e+14 5.712138e-06 -1.982726e+01
1.971188e+14 4.966113e-06 -2.018439e+01
1.970923e+14 3.579370e-06 -2.054547e+01
1.970659e+14 1.724067e-06 -2.092712e+01
1.970394e+14 3.838512e-07 -1.783337e+01
1.970129e+14 2.438859e-06 -1.839694e+01
1.969865e+14 4.211157e-06 -1.876603e+01
1.969600e+14 5.463157e-06 -1.912423e+01
1.969336e+14 6.029885e-06 -1.947964e+01
1.969071e+14 5.832413e-06 -1.983452e+01
1.968807e+14 4.888591e-06 -2.019064e+01
1.968543e+14 3.311862e-06 -2.055227e+01
1.968278e+14 1.298936e-06 -2.095020e+01
1.968014e+14 9.105866e-07 -1.797419e+01
1.967750e+14 3.013264e-06 -1.840145e+01
1.967486e+14 4.755629e-06 -1.876465e+01
1.967222e+14 5.908855e-06 -1.912022e+01
1.966958e+14 6.319419e-06 -1.947368e+01
1.966695e+14 5.927088e-06 -1.982697e+01
1.966431e+14 4.773586e-06 -2.018207e+01
1.966167e+14 2.998592e-06 -2.054504e+01
1.965904e+14 8.260861e-07 -2.098617e+01
1.965640e+14 1.489087e-06 -1.799773e+01
1.965377e+14 3.626497e-06 -1.838815e+01
1.965114e+14 5.324986e-06 -1.874660e+01
1.964850e+14 6.361108e-06 -1.909950e+01
1.964587e+14 6.594614e-06 -1.945081e+01
1.964324e+14 5.986386e-06 -1.980231e+01
1.964061e+14 4.604733e-06 -2.015639e+01
1.963798e+14 2.618298e-06 -2.052228e+01
1.963535e+14 2.921033e-07 -2.121198e+01
1.963272e+14 2.138557e-06 -2.426528e+01
1.963009e+14 4.297282e-06 -2.463798e+01
1.962747e+14 5.930505e-06 -2.499207e+01
1.962484e+14 6.821166e-06 -2.534203e+01
1.962222e+14 6.845284e-06 -2.569084e+01
1.961959e+14 5.988768e-06 -2.604023e+01
1.961697e+14 4.350892e-06 -2.639334e+01
1.961434e+14 2.133724e-06 -2.676611e+01
1.961172e+14 4.068669e-07 -2.362639e+01
1.960910e+14 2.893674e-06 -2.421911e+01
1.960648e+14 5.051442e-06 -2.458033e+01
1.960386e+14 6.583564e-06 -2.492988e+01
1.960124e+14 7.282355e-06 -2.527632e+01
1.959862e+14 7.045253e-06 -2.562200e+01
1.959600e+14 5.889762e-06 -2.596879e+01
1.959338e+14 3.953349e-06 -2.632128e+01
1.959076e+14 1.479192e-06 -2.671488e+01
1.958815e+14 1.234703e-06 -2.373112e+01
1.958553e+14 3.808987e-06 -2.413909e+01
1.958292e+14 5.923336e-06 -2.449085e+01
1.958030e+14 7.290028e-06 -2.483502e+01
1.957769e+14 7.716851e-06 -2.517684e+01
1.957507e+14 7.132010e-06 -2.551828e+01
1.957246e+14 5.596177e-06 -2.586169e+01
1.956985e+14 3.297499e-06 -2.621524e+01
1.956724e+14 5.401376e-07 -2.675776e+01
1.956463e+14 2.361643e-06 -2.364955e+01
1.956202e+14 4.969634e-06 -2.401361e+01
1.955941e+14 6.952202e-06 -2.435548e+01
1.955680e+14 8.028934e-06 -2.469225e+01
1.955420e+14 8.035834e-06 -2.502721e+01
1.955159e+14 6.950346e-06 -2.536229e+01
1.954898e+14 4.898555e-06 -2.570132e+01
1.954638e+14 2.143216e-06 -2.606772e+01
1.954377e+14 9.713234e-07 -2.303953e+01
1.954117e+14 3.982512e-06 -2.347737e+01
1.953856e+14 6.497620e-06 -2.381621e+01
1.953596e+14 8.143338e-06 -2.414458e+01
1.953336e+14 8.661746e-06 -2.446904e+01
1.953076e+14 7.946343e-06 -2.479182e+01
1.952816e+14 6.064230e-06 -2.511572e+01
1.952556e+14 3.255243e-06 -2.545282e+01
1.952296e+14 1.875872e-07 -2.786380e+01
1.952036e+14 3.518060e-06 -2.912168e+01
1.951776e+14 6.467151e-06 -2.944758e+01
1.951517e+14 8.476310e-06 -2.975609e+01
1.951257e+14 9.186743e-06 -3.005851e+01
1.950997e+14 8.434366e-06 -3.035852e+01
1.950738e+14 6.293886e-06 -3.066071e+01
1.950479e+14 3.079356e-06 -3.098492e+01
1.950219e+14 7.460231e-07 -3.408823e+01
1.949960e+14 4.486483e-06 -3.459697e+01
1.949701e+14 7.599277e-06 -3.489912e+01
1.949441e+14 9.530898e-06 -3.518311e+01
1.949182e+14 9.902272e-06 -3.545201e+01
1.948923e+14 8.531018e-06 -3.569367e+01
1.948664e+14 5.463834e-06 -3.586089e+01
1.948406e+14 1.457841e-06 -3.533083e+01
1.948147e+14 4.476212e-06 -3.366185e+01
1.947888e+14 8.934699e-06 -3.373554e+01
1.947629e+14 1.187839e-05 -3.392483e+01
1.947371e+14 1.285352e-05 -3.415860e+01
1.947112e+14 1.202984e-05 -3.442247e+01
1.946854e+14 9.890163e-06 -3.470191e+01
1.946595e+14 6.989459e-06 -3.496482e+01
1.946337e+14 3.904092e-06 -3.509246e+01
1.946079e+14 2.024409e-06 -3.445252e+01
1.945821e+14 3.779205e-06 -3.388569e+01
1.945562e+14 6.317472e-06 -3.408518e+01
1.945304e+14 8.567497e-06 -3.444985e+01
1.945046e+14 1.036956e-05 -3.487160e+01
1.944788e+14 1.168458e-05 -3.532256e+01
1.944531e+14 1.251248e-05 -3.579204e+01
1.944273e+14 1.287276e-05 -3.627471e+01
1.944015e+14 1.279632e-05 -3.676748e+01
1.943757e+14 1.232093e-05 -3.726830e+01
1.943500e+14 1.148857e-05 -3.777574e+01
1.943242e+14 1.034367e-05 -3.828874e+01
