("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 2.0132443348806301e-03 6.3899737997987349e-01
1.8749519977416666e+14 2.0429623188994873e-03 6.9849657944031096e-01
1.8762011329833334e+14 2.0614937218119403e-03 7.5838262859441818e-01
1.8774502682250000e+14 2.0686749975294847e-03 8.1850095529983280e-01
1.8786994034666666e+14 2.0644156978235355e-03 8.7870323934630223e-01
1.8799485387083334e+14 2.0486989132739845e-03 9.3884091652171342e-01
1.8811976739500000e+14 2.0215816627019104e-03 9.9875860847712095e-01
1.8824468091916666e+14 1.9831952570957931e-03 1.0582868611993943e+00
1.8836959444333334e+14 1.9337457150809350e-03 1.1172334596162812e+00
1.8849450796750000e+14 1.8735143743855139e-03 1.1753723418408866e+00
1.8861942149166666e+14 1.8028589439815440e-03 1.2324287000238114e+00
1.8874433501583334e+14 1.7227798547464262e-03 1.2870453854618917e+00
1.8886924854000000e+14 1.6330436135577962e-03 1.3396442935739481e+00
1.8899416206416666e+14 1.5342650773911754e-03 1.3896011982927288e+00
1.8911907558833334e+14 1.4271652513312466e-03 1.4360613368324493e+00
1.8924398911250000e+14 1.3125933341169745e-03 1.4778184796928582e+00
1.8936890263666666e+14 1.1915661568409949e-03 1.5131136802764020e+00
1.8949381616083334e+14 1.0653408630636398e-03 1.5392874685447235e+00
1.8961872968500000e+14 9.3555420521290202e-04 1.5521556895127413e+00
1.8974364320916666e+14 8.0450238215561023e-04 1.5448546775607330e+00
1.8986855673333334e+14 6.7573101312891110e-04 1.5057020003380401e+00
1.8999347025750000e+14 5.5564059258352938e-04 1.4115257640389289e+00
1.9011838378166666e+14 4.5567792937018360e-04 1.2334327590640244e+00
1.9024329730583334e+14 3.9556008625265762e-04 9.4758809908836206e-01
1.9036821083000000e+14 3.9649325709837112e-04 6.0274924391862461e-01
1.9049312435416666e+14 4.5897177394948812e-04 3.1685992069026780e-01
1.9061803787833334e+14 5.6247804903145884e-04 1.3888603644966926e-01
1.9074295140250000e+14 6.8755441381957718e-04 4.5061371236144648e-02
1.9086786492666666e+14 8.2271181136018992e-04 4.2900863893226204e-03
1.9099277845083334e+14 9.6164917823743498e-04 -3.8174439360691651e-03
1.9111769197500000e+14 1.1006556590491294e-03 8.8195518851643517e-03
1.9124260549916666e+14 1.2389957040154062e-03 3.5187840325040687e-02
1.9136751902333334e+14 1.3732080501656064e-03 7.0947105105575545e-02
1.9149243254750000e+14 1.5019015913387550e-03 1.1339220004398852e-01
1.9161734607166666e+14 1.6239188219594174e-03 1.6074459585457174e-01
1.9174225959583334e+14 1.7382627286421037e-03 2.1179178899234710e-01
1.9186717312000000e+14 1.8440578230952188e-03 2.6568005540824480e-01
1.9199208664416666e+14 1.9405289362593207e-03 3.2179063719363277e-01
1.9211700016833334e+14 2.0269896304473114e-03 3.7966305156323121e-01
1.9224191369250000e+14 2.1028359740316192e-03 4.3894597959268161e-01
1.9236682721666666e+14 2.1675433520753100e-03 4.9936482781964092e-01
1.9249174074083334e+14 2.2220703725530041e-03 5.6032552483193376e-01
1.9261665426500000e+14 2.2645352723700356e-03 6.2195939667076794e-01
1.9274156778916666e+14 2.2946284000764038e-03 6.8411362726561198e-01
1.9286648131333334e+14 2.3121183310751909e-03 7.4665384533698032e-01
1.9299139483750000e+14 2.3168522311415303e-03 8.0945743473972198e-01
1.9311630836166666e+14 2.3087560842005609e-03 8.7240787830890665e-01
1.9324122188583331e+14 2.2878347302298604e-03 9.3538958295822827e-01
1.9336613541000000e+14 2.2541716963521518e-03 9.9828270131698471e-01
1.9349104893416666e+14 2.2079288369333486e-03 1.0609574545948708e+00
1.9361596245833331e+14 2.1493458342803431e-03 1.1232673681797369e+00
1.9374087598250000e+14 2.0793682026414365e-03 1.1843485587272526e+00
1.9386578950666666e+14 1.9975848297087754e-03 1.2445912672771491e+00
1.9399070303083331e+14 1.9044649470211729e-03 1.3037164981352569e+00
1.9411561655500000e+14 1.8005591987849895e-03 1.3613610224614414e+00
1.9424053007916666e+14 1.6865029416428491e-03 1.4170372971307645e+00
1.9436544360333331e+14 1.5630230065530387e-03 1.4700698028070969e+00
1.9449035712750000e+14 1.4309508937577332e-03 1.5194897738784290e+00
1.9461527065166666e+14 1.2912482881961133e-03 1.5638530705794409e+00
1.9474018417583331e+14 1.1450573198811891e-03 1.6009082895662214e+00
1.9486509770000000e+14 9.9380378650105431e-04 1.6269545668798779e+00
1.9499001122416666e+14 8.3936453536024181e-04 1.6337152781415218e+00
1.9511492474833331e+14 6.8484974046520864e-04 1.6099479983222140e+00
1.9523983827250000e+14 5.3596595817972524e-04 1.5301391814267009e+00
1.9536475179666666e+14 4.0525548162553192e-04 1.3414215323069560e+00
1.9548966532083331e+14 3.2189519194468860e-04 9.6639808858362630e-01
1.9561457884500000e+14 3.2817907950637414e-04 4.7186223572129143e-01
1.9573949236916666e+14 4.2109637600767729e-04 1.1954949019936521e-01
1.9586440589333331e+14 5.5841847483515446e-04 -5.3144380303581339e-02
1.9598931941750000e+14 7.1351482787407404e-04 -1.2445358791346291e-01
1.9611423294166666e+14 8.7497082362455688e-04 -1.4339959411309755e-01
