["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 7.5609815131947027e-04 1.6417604363509914e+00
1.8749519977416666e+14 6.5809793398632227e-04 1.6853507761723852e+00
1.8762011329833334e+14 5.5834653407793404e-04 1.7174792031987032e+00
1.8774502682250000e+14 4.5801923524718170e-04 1.7306193906993907e+00
1.8786994034666666e+14 3.5895252107439956e-04 1.7092610408557021e+00
1.8799485387083334e+14 2.6478265300148635e-04 1.6174852513068905e+00
1.8811976739500000e+14 1.8495970218774448e-04 1.3662681881939216e+00
1.8824468091916666e+14 1.4577963844787580e-04 8.2567273001190278e-01
1.8836959444333334e+14 1.7551128846402108e-04 2.5455180159684121e-01
1.8849450796750000e+14 2.4883070200234342e-04 -2.5922922963163151e-02
1.8861942149166666e+14 3.3636997826333670e-04 -1.3051696903416218e-01
1.8874433501583334e+14 4.2890035676303423e-04 -1.5702946459111228e-01
1.8886924854000000e+14 5.2083405956678539e-04 -1.4643166076329095e-01
1.8899416206416666e+14 6.1026985652451406e-04 -1.1580531353782447e-01
1.8911907558833334e+14 6.9604567729440454e-04 -7.3261298123302857e-02
1.8924398911250000e+14 7.7732134123097824e-04 -2.3077535104426596e-02
1.8936890263666666e+14 8.5342540344676753e-04 3.2296255644427035e-02
1.8949381616083334e+14 9.2379174889506324e-04 9.1364083202428781e-02
1.8961872968500000e+14 9.8793104374637658e-04 1.5316466807383042e-01
1.8974364320916666e+14 1.0454171868339206e-03 2.1705461639278606e-01
1.8986855673333334e+14 1.0958807191912706e-03 2.8258891947653925e-01
1.8999347025750000e+14 1.1404733728890208e-03 3.4899777659437786e-01
1.9011838378166666e+14 1.1773882218833016e-03 4.1636622390778982e-01
1.9024329730583334e+14 1.2063907261089283e-03 4.8453050018112753e-01
1.9036821083000000e+14 1.2272974243753667e-03 5.5336663743431957e-01
1.9049312435416666e+14 1.2399760001623455e-03 6.2277945500625964e-01
1.9061803787833334e+14 1.2443452568789649e-03 6.9269507156004140e-01
1.9074295140250000e+14 1.2403749299442529e-03 7.6305572284687440e-01
