["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 7.3103514719279148e-04 9.1186735655193818e-01
1.8749519977416666e+14 7.0173874234550628e-04 8.3144863544166414e-01
1.8762011329833334e+14 6.8902826057585956e-04 7.4401142576812496e-01
1.8774502682250000e+14 6.9270061063862319e-04 6.5797187420828140e-01
1.8786994034666666e+14 7.1088520071990486e-04 5.8107473921943709e-01
1.8799485387083334e+14 7.4053882606399206e-04 5.1840387077006989e-01
1.8811976739500000e+14 7.7816119155049062e-04 4.7189452435455165e-01
1.8824468091916666e+14 8.2037935535442881e-04 4.4106892833621486e-01
1.8836959444333334e+14 8.6426364623395967e-04 4.2411419460404060e-01
1.8849450796750000e+14 9.0742433416126506e-04 4.1872711798962586e-01
1.8861942149166666e+14 9.4798964440364838e-04 4.2259999851151980e-01
1.8874433501583334e+14 9.8626673500315206e-04 4.3285443677606072e-01
1.8886924854000000e+14 1.0194702649956315e-03 4.4843706888463297e-01
1.8899416206416666e+14 1.0468767933040377e-03 4.6774462287102564e-01
1.8911907558833334e+14 1.0680441148181476e-03 4.8939774707027561e-01
1.8924398911250000e+14 1.0827781019371720e-03 5.1219068496510567e-01
1.8936890263666666e+14 1.0911096101010244e-03 5.3504623215178404e-01
1.8949381616083334e+14 1.0932787485338712e-03 5.5697945476600852e-01
1.8961872968500000e+14 1.0897241797003690e-03 5.7707157046652213e-01
1.8974364320916666e+14 1.0810753393415077e-03 5.9445517217829413e-01
1.8986855673333334e+14 1.0681454068473279e-03 6.0831262243544681e-01
1.8999347025750000e+14 1.0534213304015131e-03 6.1690782073657879e-01
1.9011838378166666e+14 1.0365459682557207e-03 6.2052063876803898e-01
1.9024329730583334e+14 1.0188222559640591e-03 6.1866698842689227e-01
1.9036821083000000e+14 1.0016528627953946e-03 6.1110098143421121e-01
1.9049312435416666e+14 9.8647946728351761e-04 5.9790476766938683e-01
1.9061803787833334e+14 9.7469880719599675e-04 5.7957197769199909e-01
1.9074295140250000e+14 9.6755851677763846e-04 5.5705523268661949e-01
1.9086786492666666e+14 9.6604427846625125e-04 5.3174498436818396e-01
1.9099277845083334e+14 9.7077827694135857e-04 5.0535957465242709e-01
