("port 1","mode 1",1,"port 1",1,"transmission")
(101, 3)
1.8737028625000000e+14 5.1715465853169231e-04 5.9100709155266473e-01
1.8749519977416666e+14 5.4787931229745724e-04 6.1613031511204130e-01
1.8762011329833334e+14 5.7692175784817602e-04 6.4614102326017675e-01
1.8774502682250000e+14 6.0395172676600559e-04 6.8017666952041977e-01
1.8786994034666666e+14 6.2868195197821985e-04 7.1754659275120614e-01
1.8799485387083334e+14 6.5086268367768943e-04 7.5769215585286209e-01
1.8811976739500000e+14 6.7027798764466944e-04 8.0015599912383739e-01
1.8824468091916666e+14 6.8674325406795566e-04 8.4455838212726819e-01
1.8836959444333334e+14 7.0010351620465052e-04 8.9057887677072689e-01
1.8849450796750000e+14 7.1023229987001010e-04 9.3794202484543032e-01
1.8861942149166666e+14 7.1703081075160605e-04 9.8640588288713327e-01
1.8874433501583334e+14 7.2113771481634777e-04 1.0341897497597683e+00
1.8886924854000000e+14 7.2168545441433094e-04 1.0825609664532805e+00
1.8899416206416666e+14 7.1864858251395494e-04 1.1313130170727657e+00
1.8911907558833334e+14 7.1202877636060966e-04 1.1802397321775591e+00
1.8924398911250000e+14 7.0185465445454169e-04 1.2291275620727367e+00
1.8936890263666666e+14 6.8818165315266081e-04 1.2777470673397000e+00
1.8949381616083334e+14 6.7109200754960664e-04 1.3258429167924379e+00
1.8961872968500000e+14 6.5069491421777793e-04 1.3731214617075049e+00
1.8974364320916666e+14 6.2712699993789126e-04 1.4192345860572175e+00
1.8986855673333334e+14 6.0055329003900896e-04 1.4637579368354163e+00
1.8999347025750000e+14 5.7128659630674883e-04 1.5039353060439336e+00
1.9011838378166666e+14 5.3934010811223327e-04 1.5410326122388729e+00
1.9024329730583334e+14 5.0499503259361970e-04 1.5740805917742990e+00
1.9036821083000000e+14 4.6858621314673757e-04 1.6017745190955492e+00
1.9049312435416666e+14 4.3051919851573193e-04 1.6223191822922582e+00
1.9061803787833334e+14 3.9129875623159698e-04 1.6331934449372572e+00
1.9074295140250000e+14 3.5157707160288242e-04 1.6307970817617290e+00
1.9086786492666666e+14 3.1223564325380765e-04 1.6099505899929194e+00
1.9099277845083334e+14 2.7452199590650663e-04 1.5633124389713524e+00
1.9111769197500000e+14 2.4026005880279367e-04 1.4811798577359920e+00
1.9124260549916666e+14 2.1239126543897362e-04 1.3477454185511568e+00
1.9136751902333334e+14 1.9448847207089102e-04 1.1648430033894461e+00
1.9149243254750000e+14 1.8994853199153148e-04 9.5062648427589402e-01
1.9161734607166666e+14 1.9989147151025808e-04 7.4383722494586157e-01
1.9174225959583334e+14 2.2228062534090121e-04 5.7797399887701062e-01
1.9186717312000000e+14 2.5350306319459520e-04 4.6274829477365442e-01
1.9199208664416666e+14 2.9021626666344018e-04 3.9149984391583759e-01
