("port 1","mode 2",2,"port 1",2,"transmission")
(101, 3)
1.8737028625000000e+14 2.5228733416643039e-04 -3.0572935831395016e+00
1.8749519977416666e+14 2.1005953357199663e-04 -2.9458081443486721e+00
1.8762011329833334e+14 1.6532053043127485e-04 -2.8166374855485112e+00
1.8774502682250000e+14 1.1882787770149543e-04 -2.6457856486651594e+00
1.8786994034666666e+14 7.2671251420445413e-05 -2.3470326699559969e+00
1.8799485387083334e+14 3.8802740917215498e-05 -1.4982130049524831e+00
1.8811976739500000e+14 5.7959194625309011e-05 -3.0174157104681432e-01
1.8824468091916666e+14 1.0609528175548978e-04 1.1538378405950152e-01
1.8836959444333334e+14 1.5949611442957272e-04 3.1270341104524818e-01
1.8849450796750000e+14 2.1439169898653846e-04 4.4663749551717763e-01
1.8861942149166666e+14 2.6961435988833696e-04 5.5443744691741215e-01
1.8874433501583334e+14 3.2271303778151281e-04 6.5345199273214716e-01
1.8886924854000000e+14 3.7518639279697725e-04 7.4400978800894291e-01
1.8899416206416666e+14 4.2656248633567888e-04 8.2890125455604569e-01
1.8911907558833334e+14 4.7640201806751586e-04 9.0969983211652250e-01
1.8924398911250000e+14 5.2428975969973579e-04 9.8735451105555472e-01
1.8936890263666666e+14 5.6983262200623725e-04 1.0624654527832875e+00
1.8949381616083334e+14 6.1266042630539930e-04 1.1354237979365562e+00
1.8961872968500000e+14 6.5242782382374611e-04 1.2064875186421904e+00
1.8974364320916666e+14 6.8881667880532952e-04 1.2758247626303920e+00
1.8986855673333334e+14 7.2153859004057714e-04 1.3435395743285874e+00
1.8999347025750000e+14 7.5010037239894086e-04 1.4125684767319369e+00
1.9011838378166666e+14 7.7480122417903133e-04 1.4799038067978196e+00
1.9024329730583334e+14 7.9544884085390086e-04 1.5455503252768270e+00
1.9036821083000000e+14 8.1188714754279988e-04 1.6094809541287252e+00
1.9049312435416666e+14 8.2399830646411921e-04 1.6716382053427452e+00
1.9061803787833334e+14 8.3170460381064184e-04 1.7319339716232798e+00
1.9074295140250000e+14 8.3497024959144190e-04 1.7902478525996939e+00
1.9086786492666666e+14 8.3380314153021424e-04 1.8464240452101983e+00
1.9099277845083334e+14 8.2825666507035706e-04 1.9002667124317636e+00
1.9111769197500000e+14 8.1843162786466033e-04 1.9515336464955431e+00
1.9124260549916666e+14 8.0541630536524783e-04 2.0021773330356782e+00
1.9136751902333334e+14 7.8864412291546645e-04 2.0495816892833676e+00
1.9149243254750000e+14 7.6834911232885670e-04 2.0933376992862018e+00
1.9161734607166666e+14 7.4482291617720834e-04 2.1329498004526632e+00
1.9174225959583334e+14 7.1842003713028300e-04 2.1678195244489711e+00
1.9186717312000000e+14 6.8956459440014080e-04 2.1972274832082115e+00
1.9199208664416666e+14 6.5875893834599559e-04 2.2203156597495206e+00
1.9211700016833334e+14 6.2659433643241108e-04 2.2360743932597527e+00
1.9224191369250000e+14 5.9376350878711842e-04 2.2433427816550298e+00
1.9236682721666666e+14 5.6107376221557900e-04 2.2408382783974288e+00
1.9249174074083334e+14 5.3055163940437069e-04 2.2296581537363900e+00
1.9261665426500000e+14 5.0213151734053202e-04 2.2066861539226159e+00
1.9274156778916666e+14 4.7691730545552588e-04 2.1712911545795901e+00
1.9286648131333334e+14 4.5604867078579791e-04 2.1236588972067136e+00
1.9299139483750000e+14 4.4059587316617636e-04 2.0651981269132196e+00
1.9311630836166666e+14 4.3141056692440300e-04 1.9987726611556476e+00
1.9324122188583331e+14 4.2896627109898801e-04 1.9285188525883405e+00
1.9336613541000000e+14 4.3324907247980956e-04 1.8591601085836884e+00
1.9349104893416666e+14 4.4375206375441906e-04 1.7950506571833600e+00
1.9361596245833331e+14 4.5957832863727449e-04 1.7393883177377434e+00
